table,outcome,column,estimate,se,pvalue,n
table05,socializing_paper,delta,-31.81047130758556,10.05407,.00155649,38033
table05,socializing_paper,beta_plus_delta,.6123533913879042,8.244319,.94079095,38033
table05,sleeping_paper,beta,35.81945738472481,7.7929201,4.2983188e-06,38033
table05,sleeping_paper,delta,13.65531147140702,8.852354,.12293692,38033
table05,sleeping_paper,beta_plus_delta,49.47476885613182,7.1269865,3.8688388e-12,38033
table05,ep_paper,beta,-26.15224569149821,9.1261091,.0041615264,38033
table05,ep_paper,delta,5.92731589088745,9.270133,.52256322,38033
table05,ep_paper,beta_plus_delta,-20.22492980061076,8.2763815,.014537818,38033
table05,otherleisure_paper,beta,46.05495081382917,22.311045,.03899667,38033
table05,otherleisure_paper,delta,4.960928552219836,17.538116,.77727991,38033
table05,otherleisure_paper,beta_plus_delta,51.01587936604901,31.763702,.10825059,38033
table05,other_paper,beta,-73.07395251525686,21.088238,.00052993168,38033
table05,other_paper,delta,35.00689189704244,22.366169,.11754268,38033
table05,other_paper,beta_plus_delta,-38.06706061821441,34.600685,.27125269,38033
table05,education_paper,beta,-42.00708341515514,21.515146,.050885696,38033
table05,education_paper,delta,37.88303820564686,13.463679,.0048971712,38033
table05,education_paper,beta_plus_delta,-4.124045209508276,29.804695,.88994879,38033
table05,civic_paper,beta,-18.80659657264129,3.9499183,1.9238580e-06,38033
table05,civic_paper,delta,-1.928834642641015,5.5893188,.73002446,38033
table05,civic_paper,beta_plus_delta,-20.7354312152823,6.4951563,.0014107365,38033
table05,ownmedical_paper,beta,-8.104523162941625,2.1116486,.00012403665,38033
table05,ownmedical_paper,delta,2.582348729905898,4.9591985,.60256255,38033
table05,ownmedical_paper,beta_plus_delta,-5.522174433035727,4.7255626,.24257487,38033
table06,worka_paper,work_paper,-1.20579589052535,3.1843197,.70493537,38033
table06,worka_paper,female_workpaper,.6696341084352747,4.2401624,.8745147,38033
table06,worka_paper,married_workpaper,-1.174894616381255,4.2722535,.78331178,38033
table06,worka_paper,female_married_workpaper,5.277243721196687,6.0412459,.38237119,38033
table06,worku_paper,work_paper,-3.404290712565909,2.8450255,.23147164,38033
