Category,Beta,Beta SE,Beta p-value,Beta formatted,Delta,Delta SE,Delta p-value,Delta formatted,Beta + Delta,Beta + Delta SE,Beta + Delta p-value,Beta + Delta formatted
Other income-generating activities,0.634728,1.230252,0.605901,0.635 (1.230),-0.443863,1.579792,0.778739,-0.444 (1.580),0.190864,1.008539,0.849898,0.191 (1.009)
Job search,3.252149,1.510840,0.031355,3.252** (1.511),-4.912385,2.079963,0.018188,-4.912** (2.080),-1.660237,1.442729,0.249830,-1.660 (1.443)
Childcare,6.164568,3.876277,0.111760,6.165 (3.876),-11.458406,5.254327,0.029201,-11.458** (5.254),-5.293839,3.596577,0.141045,-5.294 (3.597)
Non-market work,-0.743945,14.257606,0.958386,-0.744 (14.258),35.023460,18.195925,0.054255,35.023* (18.196),34.279515,11.514003,0.002909,34.280*** (11.514)
Core home production,5.831000,5.727217,0.308620,5.831 (5.727),15.571852,7.436369,0.036259,15.572** (7.436),21.402852,4.824899,0.000009,21.403*** (4.825)
Home ownership activities,-8.153220,10.458457,0.435637,-8.153 (10.458),39.548665,14.990480,0.008333,39.549*** (14.990),31.395445,10.861689,0.003847,31.395*** (10.862)
Obtaining goods and services,-0.298950,5.272414,0.954784,-0.299 (5.272),-16.739729,7.990756,0.036181,-16.740** (7.991),-17.038679,6.055677,0.004898,-17.039*** (6.056)
Others care,1.877224,3.385474,0.579241,1.877 (3.385),-3.357328,4.327880,0.437900,-3.357 (4.328),-1.480104,2.742400,0.589396,-1.480 (2.742)
Leisure,57.821088,18.903559,0.002223,57.821*** (18.904),68.785687,30.940075,0.026203,68.786** (30.940),126.606774,24.701340,0.000000,126.607*** (24.701)
TV watching,35.189603,16.166798,0.029506,35.190** (16.167),8.814103,24.405884,0.717990,8.814 (24.406),44.003706,18.491190,0.017326,44.004** (18.491)
Socializing,-1.385525,8.257004,0.866741,-1.386 (8.257),16.775228,10.544754,0.111641,16.775 (10.545),15.389703,6.689259,0.021411,15.390** (6.689)
Sleeping,29.494781,7.619914,0.000109,29.495*** (7.620),12.977429,9.506796,0.172231,12.977 (9.507),42.472210,5.790566,0.000000,42.472*** (5.791)
Eating and personal care,-3.348338,2.676039,0.210851,-3.348 (2.676),-19.732926,7.542381,0.008890,-19.733*** (7.542),-23.081264,7.090128,0.001132,-23.081*** (7.090)
Other leisure,-2.129434,14.976734,0.886936,-2.129 (14.977),49.951853,30.176886,0.097863,49.952* (30.177),47.822420,26.330822,0.069337,47.822* (26.331)
Other,32.871414,17.466066,0.059834,32.871* (17.466),-86.994492,32.114471,0.006751,-86.994*** (32.114),-54.123078,27.117792,0.045950,-54.123** (27.118)
Education,11.065854,12.717175,0.384218,11.066 (12.717),-33.177063,27.943323,0.235110,-33.177 (27.943),-22.111209,25.009705,0.376639,-22.111 (25.010)
Civic and religious activities,0.795280,4.079797,0.845447,0.795 (4.080),-20.508235,5.915623,0.000527,-20.508*** (5.916),-19.712955,4.350135,0.000006,-19.713*** (4.350)
Own medical care,1.017162,1.930167,0.598207,1.017 (1.930),-7.631766,3.376430,0.023802,-7.632** (3.376),-6.614605,2.787659,0.017653,-6.615** (2.788)
