Category,Beta,Beta SE,Beta p-value,Beta formatted,Delta,Delta SE,Delta p-value,Delta formatted,Beta + Delta,Beta + Delta SE,Beta + Delta p-value,Beta + Delta formatted
Other income-generating activities,-1.589532,2.209810,0.471952,-1.590 (2.210),3.390049,2.905679,0.243332,3.390 (2.906),1.800517,1.175271,0.125522,1.801 (1.175)
Job search,-3.247750,2.557808,0.204177,-3.248 (2.558),2.823613,3.172433,0.373441,2.824 (3.172),-0.424137,1.614884,0.792826,-0.424 (1.615)
Childcare,-6.951710,4.717132,0.140558,-6.952 (4.717),2.776924,9.703566,0.774744,2.777 (9.704),-4.174786,7.010173,0.551488,-4.175 (7.010)
Non-market work,41.821483,11.292533,0.000213,41.821*** (11.293),-14.430884,6.308513,0.022165,-14.431** (6.309),27.390599,12.082375,0.023391,27.391** (12.082)
Core home production,19.117661,7.726328,0.013348,19.118** (7.726),4.088561,10.673313,0.701672,4.089 (10.673),23.206223,7.143918,0.001161,23.206*** (7.144)
Home ownership activities,41.436114,14.572451,0.004463,41.436*** (14.572),-18.264869,9.071076,0.044059,-18.265** (9.071),23.171244,8.114935,0.004299,23.171*** (8.115)
Obtaining goods and services,-15.788467,7.077383,0.025692,-15.788** (7.077),-2.893266,6.768993,0.669067,-2.893 (6.769),-18.681733,7.175487,0.009226,-18.682*** (7.175)
Others care,-2.943825,2.876758,0.306160,-2.944 (2.877),2.638690,4.268830,0.536490,2.639 (4.269),-0.305135,4.035179,0.939722,-0.305 (4.035)
Leisure,143.041460,16.038454,0.000000,143.041*** (16.038),-29.566594,28.212412,0.294639,-29.567 (28.212),113.474867,36.136993,0.001689,113.475*** (36.137)
TV watching,54.896473,23.418407,0.019070,54.896** (23.418),-22.299679,22.064013,0.312169,-22.300 (22.064),32.596795,20.217306,0.106892,32.597 (20.217)
Socializing,32.422825,8.723810,0.000202,32.423*** (8.724),-31.810471,10.054070,0.001556,-31.810*** (10.054),0.612353,8.244319,0.940791,0.612 (8.244)
Sleeping,35.819457,7.792920,0.000004,35.819*** (7.793),13.655311,8.852354,0.122937,13.655 (8.852),49.474769,7.126987,0.000000,49.475*** (7.127)
Eating and personal care,-26.152246,9.126109,0.004162,-26.152*** (9.126),5.927316,9.270133,0.522563,5.927 (9.270),-20.224930,8.276381,0.014538,-20.225** (8.276)
Other leisure,46.054951,22.311045,0.038997,46.055** (22.311),4.960929,17.538116,0.777280,4.961 (17.538),51.015879,31.763702,0.108251,51.016 (31.764)
Other,-73.073953,21.088238,0.000530,-73.074*** (21.088),35.006892,22.366169,0.117543,35.007 (22.366),-38.067061,34.600685,0.271253,-38.067 (34.601)
Education,-42.007083,21.515146,0.050886,-42.007* (21.515),37.883038,13.463679,0.004897,37.883*** (13.464),-4.124045,29.804695,0.889949,-4.124 (29.805)
Civic and religious activities,-18.806597,3.949918,0.000002,-18.807*** (3.950),-1.928835,5.589319,0.730024,-1.929 (5.589),-20.735431,6.495156,0.001411,-20.735*** (6.495)
Own medical care,-8.104523,2.111649,0.000124,-8.105*** (2.112),2.582349,4.959199,0.602563,2.582 (4.959),-5.522174,4.725563,0.242575,-5.522 (4.726)
