TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20060101060001,1,73,19,1,0,0,0
20060101060014,1,33,18,2,0,0,0
20060101060014,2,14,22,2,0,0,0
20060101060014,3,13,22,1,0,0,0
20060101060025,1,32,19,1,0,0,0
20060101060025,2,33,21,2,0,0,0
20060101060033,1,19,18,2,0,0,0
20060101060033,2,41,24,2,0,0,0
20060101060033,3,11,25,2,0,0,0
20060101060033,4,0,22,1,0,0,0
20060101060038,1,52,18,2,0,0,0
20060101060038,2,56,20,1,0,0,0
20060101060049,1,22,18,2,0,0,0
20060101060049,2,25,21,1,0,0,0
20060101060049,3,0,22,2,0,0,0
20060101060057,1,30,18,2,0,0,0
20060101060057,2,35,20,1,0,0,0
20060101060057,3,12,22,2,0,0,0
20060101060057,4,11,22,2,0,0,0
20060101060057,5,9,22,2,0,0,0
20060101060057,6,6,22,2,0,0,0
20060101060067,1,16,18,2,0,0,0
20060101060067,2,46,24,2,0,0,0
20060101060067,3,54,24,1,0,0,0
20060101060067,4,7,25,2,0,0,0
20060101060077,1,23,18,1,0,0,0
20060101060092,1,27,18,1,0,0,0
20060101060092,2,27,20,2,0,0,0
20060101060092,3,11,22,1,0,0,0
20060101060092,4,4,22,2,0,0,0
20060101060106,1,17,18,2,0,0,0
20060101060106,2,43,24,2,0,0,0
20060101060106,3,20,25,2,0,0,0
20060101060106,4,19,25,2,0,0,0
20060101060108,1,28,18,2,0,0,0
20060101060108,2,15,22,2,0,0,0
20060101060108,3,8,22,2,0,0,0
20060101060108,4,7,22,2,0,0,0
20060101060108,5,5,22,1,0,0,0
20060101060500,1,59,18,2,0,0,0
20060101060500,2,58,20,1,0,0,0
20060101060500,4,13,23,2,0,0,0
20060101060502,1,30,19,2,0,0,0
20060101060533,1,44,19,2,0,0,0
20060101060533,2,41,28,1,0,0,0
20060101060534,1,50,18,2,0,0,0
20060101060534,2,15,22,2,0,0,0
20060101060536,1,52,18,1,0,0,0
20060101060536,2,47,20,2,0,0,0
20060101060545,1,34,18,2,0,0,0
20060101060545,2,36,20,1,0,0,0
20060101060545,3,4,22,1,0,0,0
20060101060545,4,6,22,2,0,0,0
20060101060566,1,65,18,2,0,0,0
20060101060566,2,71,20,1,0,0,0
20060101060572,1,85,18,2,60,0,0
20060101060573,1,25,18,1,0,0,0
20060101060573,2,23,20,2,0,0,0
20060101060578,1,39,18,1,0,0,0
20060101060578,2,42,20,2,0,0,0
20060101060578,3,13,22,1,0,0,0
20060101060578,4,9,22,1,0,0,0
20060101060578,5,8,22,2,0,0,0
20060101060578,6,4,22,2,0,0,0
20060101060580,1,73,18,1,0,0,0
20060101060580,2,68,20,2,0,0,0
20060101060581,1,68,18,2,0,0,0
20060101060581,2,49,22,1,0,0,0
20060101060581,3,16,23,2,0,0,0
20060101060581,4,14,23,1,0,0,0
20060101060589,1,46,19,1,0,0,0
20060101060612,1,51,18,1,0,0,0
20060101060612,2,50,20,2,0,0,0
20060101060612,3,23,22,1,0,0,0
20060101060620,1,35,19,1,0,0,0
20060101060627,1,34,18,2,0,0,0
20060101060627,2,61,24,2,0,0,0
20060101060627,3,85,26,2,60,0,0
20060101060627,4,14,22,1,0,0,0
20060101060627,5,11,22,1,0,0,0
20060101060629,1,57,18,2,0,0,0
20060101060629,2,57,20,1,0,0,0
20060101060630,1,16,18,1,0,0,0
20060101060630,2,41,24,1,0,0,0
20060101060633,1,25,18,2,0,0,0
