TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20080101080013,1,55,18,1,0,0,0
20080101080015,1,66,19,1,0,0,0
20080101080088,1,80,19,2,0,0,0
20080101080102,1,29,18,2,0,0,0
20080101080102,2,28,20,1,0,0,0
20080101080102,3,7,22,2,0,0,0
20080101080102,4,6,22,1,0,0,0
20080101080102,5,5,22,1,0,0,0
20080101080116,1,34,18,2,0,0,0
20080101080116,2,14,22,1,0,0,0
20080101080116,3,4,22,2,0,0,0
20080101080119,1,30,18,2,0,0,0
20080101080119,2,12,22,1,0,0,0
20080101080119,3,6,22,1,0,0,0
20080101080119,4,2,22,1,0,0,0
20080101080119,8,31,30,1,0,0,0
20080101080119,9,4,22,1,0,0,0
20080101080119,10,4,22,2,0,0,0
20080101080134,1,30,18,1,0,0,0
20080101080134,2,57,24,1,0,0,0
20080101080145,1,21,19,2,0,0,0
20080101080164,1,36,18,2,0,0,0
20080101080164,2,36,20,1,0,0,0
20080101080164,3,16,22,1,0,0,0
20080101080164,4,11,22,1,0,0,0
20080101080164,5,9,22,1,0,0,0
20080101080164,6,8,22,1,0,0,0
20080101080164,7,6,22,1,0,0,0
20080101080164,8,2,22,1,0,0,0
20080101080504,1,26,18,1,0,0,0
20080101080504,2,24,20,2,0,0,0
20080101080536,1,30,18,2,0,0,0
20080101080536,2,30,20,1,0,0,0
20080101080536,3,3,22,2,0,0,0
20080101080536,4,1,22,2,0,0,0
20080101080545,1,30,19,1,0,0,0
20080101080545,2,29,21,2,0,0,0
20080101080545,3,7,30,2,0,0,0
20080101080545,4,4,30,2,0,0,0
20080101080545,5,9,40,1,0,0,0
20080101080545,6,8,40,2,0,0,0
20080101080567,1,39,18,1,0,0,0
20080101080567,2,33,20,2,0,0,0
20080101080567,3,13,22,1,0,0,0
20080101080600,1,28,18,2,0,0,0
20080101080600,2,31,20,1,0,0,0
20080101080600,3,5,22,2,0,0,0
20080101080600,4,3,22,1,0,0,0
20080101080600,5,2,22,1,0,0,0
20080101080606,1,46,19,2,0,0,0
20080101080606,2,57,21,1,0,0,0
20080101080629,1,65,18,1,0,0,0
20080101080629,2,53,20,2,0,0,0
20080101080707,1,45,19,1,0,0,0
20080101080753,1,26,18,2,0,0,0
20080101080753,2,12,22,1,0,0,0
20080101080753,3,7,22,2,0,0,0
20080101080753,4,3,22,2,0,0,0
20080101080753,5,2,22,2,0,0,0
20080101080755,1,75,19,2,0,0,0
20080101080776,1,46,18,2,0,0,0
20080101080776,2,43,20,1,0,0,0
20080101080776,3,7,22,1,0,0,0
20080101080781,1,42,19,1,0,0,0
20080101080781,2,40,20,2,0,0,0
20080101080781,3,18,30,1,0,0,0
20080101080781,4,16,30,2,0,0,0
20080101080781,5,12,30,1,0,0,0
20080101080781,6,10,30,1,0,0,0
20080101080813,1,33,18,2,0,0,0
20080101080813,2,37,20,1,0,0,0
20080101080813,3,4,22,1,0,0,0
20080101080813,4,0,22,2,0,0,0
20080101080842,1,17,18,1,0,0,0
20080101080842,2,54,24,2,0,0,0
20080101080842,3,50,24,1,0,0,0
20080101080842,4,21,25,1,0,0,0
20080101080920,1,62,19,2,0,0,0
20080101080921,1,30,18,2,0,0,0
20080101080921,2,30,20,1,0,0,0
20080101080921,3,5,22,1,0,0,0
20080101080921,4,10,22,2,0,0,0
20080101080928,1,56,19,2,0,0,0
20080101080990,1,85,19,2,60,0,0
20080101081014,1,49,18,2,0,0,0
20080101081014,2,54,20,1,0,0,0
20080101081014,3,29,22,2,0,0,0
20080101081014,4,4,23,1,0,0,0
20080101081017,1,67,18,2,0,0,0
20080101081017,2,69,20,1,0,0,0
20080101081017,3,85,24,2,60,0,0
20080101081100,1,49,19,1,0,0,0
20080101081116,1,67,18,1,0,0,0
20080101081116,2,63,20,2,0,0,0
20080101081141,1,53,18,2,0,0,0
20080101081141,2,53,20,1,0,0,0
20080101081141,3,14,22,1,0,0,0
20080101081160,1,80,18,2,0,0,0
20080101081160,2,59,22,2,0,0,0
20080101081180,1,64,19,1,0,0,0
20080101081208,1,43,19,1,0,0,0
20080101081223,1,72,19,2,0,0,0
20080101081353,1,65,19,2,0,0,0
20080101081373,1,29,18,1,0,0,0
20080101081373,2,26,20,2,0,0,0
20080101081373,3,6,22,2,0,0,0
20080101081373,4,7,22,2,0,0,0
20080101081373,5,2,22,1,0,0,0
20080101081373,6,0,22,1,0,0,0
20080101081375,1,50,18,1,0,0,0
20080101081375,2,50,20,2,0,0,0
20080101081375,3,15,22,1,0,0,0
20080101081375,4,12,22,1,0,0,0
20080101081401,1,48,18,1,0,0,0
20080101081401,2,42,20,2,0,0,0
20080101081401,3,9,22,2,0,0,0
20080101081401,4,7,22,1,0,0,0
20080101081402,1,44,18,2,0,0,0
20080101081402,2,46,20,1,0,0,0
20080101081409,1,57,19,1,0,0,0
20080101081412,1,63,19,1,0,0,0
20080101081432,1,27,18,2,0,0,0
20080101081432,2,29,20,1,0,0,0
20080101081432,3,0,22,1,0,0,0
20080101081480,1,64,18,2,0,0,0
20080101081480,2,75,20,1,0,0,0
20080101081487,1,75,19,2,0,0,0
