TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20110101110010,1,62,19,2,0,0,0
20110101110010,2,31,22,2,0,0,0
20110101110010,3,9,23,2,0,0,0
20110101110072,1,22,19,2,0,0,0
20110101110074,1,33,18,1,0,0,0
20110101110074,2,39,20,2,0,0,0
20110101110074,3,18,22,2,0,0,0
20110101110074,4,15,22,1,0,0,0
20110101110081,1,45,19,1,0,0,0
20110101110082,1,24,18,2,0,0,0
20110101110082,2,22,20,1,0,0,0
20110101110082,3,3,22,1,0,0,0
20110101110082,4,1,22,1,0,0,0
20110101110101,1,29,18,2,0,0,0
20110101110101,2,8,22,2,0,0,0
20110101110101,3,2,22,2,0,0,0
20110101110105,1,29,19,1,0,0,0
20110101110105,2,21,21,2,0,0,0
20110101110105,3,6,22,1,0,0,0
20110101110142,1,31,18,2,0,0,0
20110101110142,2,32,20,1,0,0,0
20110101110156,1,35,18,1,0,0,0
20110101110156,2,58,24,1,0,0,0
20110101110156,3,30,25,1,0,0,0
20110101110156,4,1,26,2,0,0,0
20110101110183,1,33,18,2,0,0,0
20110101110183,2,34,20,1,0,0,0
20110101110183,3,14,22,2,0,0,0
20110101110183,4,11,22,2,0,0,0
20110101110183,5,3,22,2,0,0,0
20110101110507,1,74,19,2,0,0,0
20110101110520,1,61,19,2,0,0,0
20110101110521,1,70,18,2,0,0,0
20110101110521,2,43,22,1,0,0,0
20110101110522,1,56,19,1,0,0,0
20110101110523,1,56,18,1,0,0,0
20110101110523,2,62,20,2,0,0,0
20110101110525,1,31,18,1,0,0,0
20110101110525,2,31,20,2,0,0,0
20110101110525,3,7,22,2,0,0,0
20110101110525,4,4,22,2,0,0,0
20110101110542,1,61,19,1,0,0,0
20110101110554,1,30,18,2,0,0,0
20110101110554,2,32,20,1,0,0,0
20110101110554,3,7,22,2,0,0,0
20110101110554,4,3,22,1,0,0,0
20110101110557,1,49,18,2,0,0,0
20110101110557,2,55,20,1,0,0,0
20110101110557,3,24,22,1,0,0,0
20110101110560,1,33,18,2,0,0,0
20110101110560,3,6,22,1,0,0,0
20110101110560,4,4,22,1,0,0,0
20110101110573,1,58,18,1,0,0,0
20110101110573,2,56,20,2,0,0,0
20110101110573,3,28,22,1,0,0,0
20110101110576,1,41,19,1,0,0,0
20110101110577,1,29,19,1,0,0,0
20110101110594,1,49,18,2,0,0,0
20110101110594,2,56,20,1,0,0,0
20110101110594,3,20,22,2,0,0,0
20110101110594,4,16,22,1,0,0,0
20110101110598,1,60,18,1,0,0,0
20110101110598,2,54,20,2,0,0,0
20110101110604,1,43,18,2,0,0,0
20110101110604,2,14,22,2,0,0,0
20110101110604,3,15,40,2,41,0,0
20110101110611,1,58,19,2,0,0,0
20110101110614,1,23,19,1,0,0,0
20110101110635,1,31,19,2,0,0,0
20110101110639,1,58,19,2,0,0,0
20110101110652,1,76,19,2,0,0,0
20110101110664,1,64,18,2,0,0,0
20110101110664,2,67,20,1,0,0,0
20110101110677,1,54,19,1,0,0,0
20110101110679,1,74,18,1,0,0,0
20110101110679,2,67,20,2,0,0,0
20110101110685,1,65,18,1,0,0,0
20110101110685,2,56,20,2,0,0,0
20110101110685,3,73,25,1,0,0,0
20110101110691,1,22,18,2,0,0,0
20110101110691,2,48,24,1,0,0,0
20110101110691,3,46,24,2,0,0,0
20110101110691,4,19,25,2,0,0,0
20110101110691,5,16,25,1,0,0,0
20110101110700,1,72,19,2,0,0,0
20110101110724,1,43,18,2,0,0,0
20110101110724,2,45,20,1,0,0,0
20110101110724,3,17,22,1,0,0,0
20110101110724,4,10,22,1,0,0,0
20110101110724,5,6,22,1,0,0,0
20110101110733,1,72,18,1,0,0,0
20110101110733,2,71,20,2,0,0,0
20110101110740,1,41,18,1,0,0,0
20110101110740,2,14,22,2,0,0,0
20110101110763,1,74,18,2,0,0,0
20110101110763,2,77,20,1,0,0,0
20110101110780,1,80,19,2,0,0,0
20110101110790,1,67,18,1,0,0,0
20110101110790,2,63,20,2,0,0,0
20110101110790,3,28,22,1,0,0,0
20110101110792,1,61,18,1,0,0,0
20110101110792,2,25,22,2,0,0,0
20110101110792,3,17,22,2,0,0,0
20110101110796,1,80,19,2,0,0,0
20110101110814,1,63,18,2,0,0,0
20110101110814,2,72,20,1,0,0,0
20110101110814,3,43,22,1,0,0,0
20110101110814,4,15,23,1,0,0,0
20110101110814,5,14,23,2,0,0,0
20110101110821,1,36,18,1,0,0,0
20110101110821,2,36,20,2,0,0,0
20110101110821,3,4,22,2,0,0,0
20110101110821,4,2,22,1,0,0,0
20110101110825,1,23,18,1,0,0,0
20110101110825,2,25,21,2,0,0,0
20110101110825,3,4,22,1,0,0,0
20110101110825,4,0,22,2,0,0,0
20110101110825,5,1,40,2,0,0,0
20110101110831,1,74,18,2,0,0,0
20110101110831,2,77,20,1,0,0,0
20110101110832,1,52,18,1,0,0,0
20110101110832,2,52,20,2,0,0,0
20110101110847,1,65,18,2,0,0,0
20110101110847,2,56,25,1,0,0,0
20110101110847,3,46,30,2,0,0,0
20110101110850,1,53,18,2,0,0,0
20110101110850,2,31,20,1,0,0,0
20110101110850,3,3,22,1,0,0,0
20110101110860,1,80,19,2,0,0,0
20110101110862,1,36,18,2,0,0,0
20110101110862,2,39,20,1,0,0,0
20110101110865,1,39,18,1,0,0,0
20110101110865,2,41,20,2,0,0,0
20110101110865,3,2,22,1,0,0,0
20110101110865,4,1,22,1,0,0,0
20110101110869,1,61,18,1,0,0,0
20110101110869,2,53,20,2,0,0,0
20110101110869,3,15,22,2,0,0,0
20110101110872,1,39,18,2,0,0,0
20110101110872,2,41,20,1,0,0,0
20110101110872,3,14,22,2,0,0,0
20110101110872,4,12,22,1,0,0,0
20110101110879,1,61,18,2,0,0,0
20110101110879,2,62,20,1,0,0,0
20110101110882,1,53,18,2,0,0,0
20110101110882,2,41,20,1,0,0,0
20110101110882,3,15,22,2,0,0,0
20110101110883,1,37,18,2,0,0,0
20110101110883,2,62,24,2,0,0,0
20110101110883,3,71,24,1,0,0,0
20110101110883,4,18,22,1,0,0,0
20110101110883,5,7,22,1,0,0,0
20110101110883,6,14,22,2,0,0,0
20110101110888,1,69,19,1,0,0,0
20110101110894,1,58,18,1,0,0,0
20110101110894,2,22,22,1,0,0,0
20110101110912,1,21,18,2,0,0,0
20110101110912,2,24,20,1,0,0,0
20110101110918,1,59,19,1,0,0,0
20110101110924,1,41,18,2,0,0,0
20110101110924,2,44,20,1,0,0,0
20110101110924,3,13,22,1,0,0,0
20110101110924,4,11,22,2,0,0,0
20110101110941,1,38,18,1,0,0,0
20110101110941,3,13,22,1,0,0,0
20110101110941,4,11,22,2,0,0,0
20110101110941,5,9,22,2,0,0,0
20110101110942,1,28,19,1,0,0,0
20110101110961,1,56,18,1,0,0,0
20110101110961,2,55,20,2,0,0,0
20110101110961,3,19,22,1,0,0,0
20110101110961,4,16,27,2,0,0,0
20110101110961,5,18,27,2,0,0,0
20110101110961,6,14,27,1,0,0,0
20110101110961,10,11,27,2,0,0,0
20110101110961,11,11,27,2,0,0,0
20110101110965,1,43,18,2,0,0,0
20110101110965,2,17,22,1,0,0,0
