TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20090101090037,1,80,18,1,0,0,0
20090101090037,2,80,20,2,0,0,0
20090101090064,1,38,19,2,0,0,0
20090101090070,1,39,18,2,0,0,0
20090101090070,2,17,22,1,0,0,0
20090101090070,3,13,22,2,0,0,0
20090101090504,1,64,18,2,0,0,0
20090101090504,2,78,20,1,0,0,0
20090101090518,1,77,19,2,0,0,0
20090101090554,1,61,18,2,0,0,0
20090101090554,2,57,20,1,0,0,0
20090101090554,3,35,22,2,0,0,0
20090101090572,1,57,18,2,0,0,0
20090101090572,2,60,20,1,0,0,0
20090101090611,1,43,18,2,0,0,0
20090101090611,2,42,21,1,0,0,0
20090101090611,3,19,22,1,0,0,0
20090101090611,4,17,40,2,0,0,0
20090101090615,1,33,19,1,0,0,0
20090101090637,1,73,19,2,0,0,0
20090101090640,1,24,19,2,0,0,0
20090101090643,1,28,19,2,0,0,0
20090101090644,1,48,19,1,0,0,0
20090101090679,1,43,18,1,0,0,0
20090101090679,2,36,20,2,0,0,0
20090101090705,1,39,18,1,0,0,0
20090101090705,2,39,20,2,0,0,0
20090101090705,3,15,22,2,0,0,0
20090101090724,1,47,18,2,0,0,0
20090101090724,2,30,20,1,0,0,0
20090101090724,3,15,22,1,0,0,0
20090101090724,4,13,22,2,0,0,0
20090101090755,1,54,18,2,0,0,0
20090101090755,2,53,20,1,0,0,0
20090101090788,1,67,18,1,0,0,0
20090101090788,2,63,20,2,0,0,0
20090101090790,1,48,18,2,0,0,0
20090101090790,2,47,20,1,0,0,0
20090101090790,3,8,22,2,0,0,0
20090101090793,1,54,19,2,0,0,0
20090101090798,1,66,18,2,0,0,0
20090101090798,2,69,20,1,0,0,0
20090101090819,1,34,18,1,0,0,0
20090101090819,2,33,20,2,0,0,0
20090101090819,3,7,22,2,0,0,0
20090101090819,4,5,22,1,0,0,0
20090101090845,1,35,18,2,0,0,0
20090101090845,2,36,20,1,0,0,0
20090101090845,3,14,22,2,0,0,0
20090101090845,4,8,22,2,0,0,0
20090101090845,5,2,22,2,0,0,0
20090101090845,6,0,22,1,0,0,0
20090101090878,1,66,18,2,0,0,0
20090101090878,2,68,20,1,0,0,0
20090101090908,1,73,18,2,0,0,0
20090101090908,2,80,20,1,0,0,0
20090101090944,1,72,18,2,0,0,0
20090101090944,2,70,20,1,0,0,0
20090101090963,1,26,18,2,0,0,0
20090101090963,2,27,20,1,0,0,0
20090101090963,3,2,22,1,0,0,0
20090101090969,1,80,19,2,0,0,0
20090101090971,1,54,18,2,0,0,0
20090101090971,2,43,20,1,0,0,0
20090101090984,1,21,18,1,0,0,0
20090101090984,2,53,24,1,0,0,0
20090101090984,3,20,25,2,0,0,0
20090101090984,4,16,25,1,0,0,0
20090101090991,1,39,18,2,0,0,0
20090101090991,2,40,20,1,0,0,0
20090101090991,3,7,22,1,0,0,0
20090101090991,4,2,22,2,0,0,0
20090101090995,1,23,18,2,0,0,0
20090101090995,2,24,21,1,0,0,0
20090101091015,1,37,18,2,0,0,0
20090101091015,2,38,20,1,0,0,0
20090101091015,3,6,22,1,0,0,0
20090101091016,1,60,18,2,0,0,0
20090101091016,2,58,20,1,0,0,0
20090101091025,1,79,19,1,0,0,0
20090101091029,1,52,18,2,0,0,0
20090101091029,2,53,20,1,0,0,0
20090101091029,3,18,22,1,0,0,0
20090101091029,4,15,22,2,0,0,0
20090101091034,1,16,18,2,0,0,0
20090101091034,2,52,24,1,0,0,0
20090101091034,3,53,24,2,0,0,0
20090101091034,4,20,25,2,0,0,0
20090101091034,5,18,25,2,0,0,0
20090101091059,1,45,18,2,0,0,0
