TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20180101180006,1,42,19,1,0,0,0
20180101180021,1,58,19,1,0,0,0
20180101180025,1,65,18,1,0,0,0
20180101180025,2,63,20,2,0,0,0
20180101180025,3,65,26,1,0,0,0
20180101180054,1,72,19,1,0,0,0
20180101180060,1,66,19,2,0,0,0
20180101180087,1,55,19,2,0,0,0
20180101180096,1,43,18,2,0,0,0
20180101180096,2,60,24,2,0,0,0
20180101180096,3,13,22,1,0,0,0
20180101180108,1,46,19,1,0,0,0
20180101180145,1,58,18,2,0,0,0
20180101180145,2,35,22,2,0,0,0
20180101180146,1,85,18,1,60,0,0
20180101180146,2,85,20,2,60,0,0
20180101180165,1,30,18,2,0,0,0
20180101180165,2,7,22,2,0,0,0
20180101180165,3,2,22,1,0,0,0
20180101180507,1,47,18,1,0,0,0
20180101180507,2,46,20,2,0,0,0
20180101180507,3,14,22,2,0,0,0
20180101180519,1,64,19,2,0,0,0
20180101180521,1,61,19,1,0,0,0
20180101180524,1,37,18,1,0,0,0
20180101180524,2,33,20,2,0,0,0
20180101180524,3,1,22,1,0,0,0
20180101180532,1,50,18,1,0,0,0
20180101180532,2,51,20,2,0,0,0
20180101180532,3,16,22,1,0,0,0
20180101180532,4,11,22,2,0,0,0
20180101180542,1,48,18,1,0,0,0
20180101180542,2,46,20,2,0,0,0
20180101180542,3,17,22,1,0,0,0
20180101180542,4,14,22,2,0,0,0
20180101180549,1,44,18,2,0,0,0
20180101180549,2,46,20,1,0,0,0
20180101180549,3,7,22,2,0,0,0
20180101180549,4,5,22,1,0,0,0
20180101180553,1,36,18,1,0,0,0
20180101180553,2,35,20,2,0,0,0
20180101180553,3,3,22,1,0,0,0
20180101180553,4,0,22,2,0,0,0
20180101180555,1,70,18,1,0,0,0
20180101180555,2,55,20,2,0,0,0
20180101180555,3,29,22,1,0,0,0
20180101180571,1,21,19,2,0,0,0
20180101180571,2,21,28,2,0,0,0
20180101180571,3,22,28,2,0,0,0
20180101180576,1,54,19,2,0,0,0
20180101180577,1,62,19,2,0,0,0
20180101180595,1,32,18,1,0,0,0
20180101180595,2,31,20,2,0,0,0
20180101180595,3,9,22,2,0,0,0
20180101180595,4,8,22,2,0,0,0
20180101180604,1,57,18,2,0,0,0
20180101180604,2,64,20,1,0,0,0
20180101180623,1,64,19,2,0,0,0
20180101180648,1,33,18,2,0,0,0
