TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20140101140007,1,20,19,2,0,0,0
20140101140007,2,19,21,1,0,0,0
20140101140007,3,0,22,1,0,0,0
20140101140011,1,16,18,2,0,0,0
20140101140011,2,33,24,2,0,0,0
20140101140028,1,65,18,2,0,0,0
20140101140028,2,38,28,1,0,0,0
20140101140028,3,36,22,2,0,0,0
20140101140028,5,5,23,2,0,0,0
20140101140028,6,13,23,1,0,0,0
20140101140028,7,2,23,1,0,0,0
20140101140063,1,50,19,2,0,0,0
20140101140168,1,23,18,2,0,0,0
20140101140168,2,8,22,2,0,0,0
20140101140537,1,85,18,1,60,0,0
20140101140537,2,62,22,1,0,0,0
20140101140559,1,27,18,1,0,0,0
20140101140559,2,25,20,2,0,0,0
20140101140559,3,1,22,2,0,0,0
20140101140610,1,28,18,1,0,0,0
20140101140610,2,29,20,2,0,0,0
20140101140610,3,0,22,2,0,0,0
20140101140614,1,63,19,2,0,0,0
20140101140639,1,85,19,1,60,0,0
20140101140665,1,66,18,2,0,0,0
20140101140665,2,66,20,1,0,0,0
20140101140685,1,54,19,1,0,0,0
20140101140685,2,58,28,1,0,0,0
20140101140702,1,31,18,2,0,0,0
20140101140702,2,8,22,2,0,0,0
20140101140702,3,1,22,1,0,0,0
20140101140702,4,0,22,1,0,0,0
20140101140725,1,35,18,1,0,0,0
20140101140725,2,35,20,2,0,0,0
20140101140725,3,1,22,2,0,0,0
20140101140759,1,80,18,1,0,0,0
20140101140759,2,78,20,2,0,0,0
20140101140792,1,37,18,1,0,0,0
20140101140792,2,67,24,1,0,0,0
20140101140804,1,41,18,2,0,0,0
20140101140804,2,41,20,1,0,0,0
20140101140804,3,13,22,1,0,0,0
20140101140804,4,10,22,1,0,0,0
20140101140836,1,85,19,2,60,0,0
20140101140852,1,67,19,1,0,0,0
20140101140854,1,21,18,2,0,0,0
20140101140854,2,63,24,2,0,0,0
20140101140872,1,45,18,2,0,0,0
20140101140872,2,48,20,1,0,0,0
20140101140872,3,21,22,2,0,0,0
20140101140872,4,17,22,2,0,0,0
20140101140872,5,12,22,1,0,0,0
20140101140872,6,9,22,2,0,0,0
20140101140875,1,62,18,1,0,0,0
20140101140875,2,70,20,2,0,0,0
20140101140876,1,67,18,2,0,0,0
20140101140876,2,73,20,1,0,0,0
20140101140885,1,80,19,2,0,0,0
20140101140911,1,61,18,2,0,0,0
20140101140911,2,66,20,1,0,0,0
20140101140940,1,49,18,1,0,0,0
20140101140940,2,49,20,2,0,0,0
20140101140940,3,24,22,2,0,0,0
20140101140940,4,14,22,2,0,0,0
20140101140958,1,26,18,2,0,0,0
20140101140958,2,33,20,1,0,0,0
20140101140958,3,7,22,1,0,0,0
20140101140958,4,0,22,1,0,0,0
