"","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"(1)","-0.00191","0.01660","0.05294","-0.34279**","-0.21403***","-0.31395**","0.17039**","0.01480","-1.26607***","-0.44004*","-0.15390*","-0.42472***","0.23081**","-0.47822","0.54123*","0.22111","0.19713***","0.06615*"
"","0.01009","0.01443","0.03597","0.11514","0.04825","0.10862","0.06056","0.02742","0.24701","0.18491","0.06689","0.05791","0.07090","0.26331","0.27118","0.25010","0.04350","0.02788"
"N","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071"
