"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-0.00263","-0.01048","-0.05156","0.05381","-0.04393","0.09787","0.01900","-0.01913","-0.69918**","-0.42402*","0.02967","-0.37639***","0.03595","0.03560","-0.28996","-0.06158","-0.00988","-0.01790"
"","0.01104","0.00727","0.05205","0.19415","0.07580","0.13200","0.06584","0.04416","0.22317","0.20713","0.10274","0.09060","0.03625","0.18242","0.21726","0.15075","0.05068","0.02429"
"pandemic_workpaper","-0.00619","-0.00494","0.10873","-0.36870","-0.15602","-0.40410*","0.16139","0.03003","-0.55618","-0.01971","-0.19571","-0.04579","0.19666*","-0.49162","0.82728*","0.26896","0.21585**","0.07979*"
"","0.01455","0.01112","0.06399","0.22258","0.09021","0.17763","0.09563","0.05110","0.34577","0.26891","0.11609","0.11407","0.08132","0.31239","0.36346","0.29000","0.07171","0.04046"
"0.pandemic","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.pandemic","0.16959","0.13570","-2.75060","8.59447","4.17711","10.12318*","-4.78135","-0.92447","15.12767","1.35573","4.83011","2.74608","-5.71769**","11.91344","-21.27684*","-6.57718","-5.86377**","-2.14746*"
"","0.37364","0.28272","1.65183","5.74474","2.36439","4.61275","2.46948","1.33913","9.00111","6.90719","2.99198","2.94504","2.09535","8.10736","9.48113","7.53338","1.86926","1.04277"
"0.male","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male","0.03483","-0.00099","0.02602","-3.50137***","-3.25343***","1.12654***","-1.33464***","-0.03984","5.30909***","4.66563***","-0.10888","0.21731","-1.69411***","2.22913***","-1.86757***","-0.92368***","-0.63839***","-0.38247***"
"","0.03027","0.03181","0.07714","0.27682","0.12206","0.19220","0.15624","0.07060","0.38242","0.36135","0.20804","0.19908","0.13861","0.27024","0.33277","0.24634","0.10503","0.08303"
"0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.married","-0.02181","-0.12398***","1.27439***","5.09550***","3.74384***","0.03696","1.05649***","0.25821","-6.18206***","-4.40217***","0.33901","-2.39757***","1.05509***","-0.77643","-0.04204","-0.55484","1.00557***","-0.08857"
