"","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"(1)",".0055698","-.0079969","-.1134637*",".1622429","-.0551814","-.1803988***",".3547314***",".0430917","-1.536004*","-.3150285","-.084006","-.6743261***",".2049277**","-.6675709",".4896517",".1425479",".1896063**",".0983463"
"",".0281051",".0401697",".0584966",".2329339",".0918727",".0646507",".1367617",".0633525",".8040891",".2427804",".160063",".1841789",".0966085",".5097176",".7224959",".6161932",".0934708",".1013069"
"N","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712"
