"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"num_child","-0.03559","-0.05725*","0.77985**","1.05239**","1.07551***","-0.69718*","0.61597**","0.05810","-3.92874***","-1.69214***","-0.66366**","-1.43426***","0.39128","-0.52996","2.18933**","0.93792","0.71683***","0.07962"
"","0.03149","0.02887","0.25977","0.38829","0.19161","0.31451","0.20398","0.09754","0.72744","0.35070","0.21882","0.25473","0.23451","0.60053","0.74527","0.59216","0.19379","0.08539"
"age_youngest","0.00329","0.00886","-1.24472***","-0.01918","-0.15709***","0.07496","0.04221","0.02075","0.73005***","0.06888","0.09964**","0.11816*","0.07630","0.36707***","0.52170***","0.52663***","0.02844","-0.01018"
"","0.01010","0.00596","0.05171","0.05667","0.02890","0.04640","0.03508","0.01508","0.15598","0.09001","0.03081","0.04988","0.03901","0.10802","0.13427","0.10236","0.03100","0.02546"
"0.male#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.male#1.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#1.married","0.01864","0.22499*","-1.41845***","-0.32778","-3.03433***","4.90868***","-1.82243*","-0.37969","6.98952*","3.82541*","-0.88977","2.57609**","-1.33185","2.80965","-5.48691","-1.75058","-2.11203**","-0.60512"
"","0.15100","0.10578","0.40192","1.30338","0.60220","1.25409","0.79324","0.32970","3.05231","1.80359","0.89108","0.88778","0.76898","2.55792","3.27209","2.71680","0.64591","0.41434"
"0.male#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.male#1.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#1.hv_child","-0.01663","0.17060","-8.78330***","1.17241","1.17417","0.30101","-0.60028","0.29751","10.53842***","0.00362","4.16134***","1.92351","-0.75988","5.20983*","-3.08150","-0.85657","-1.34513*","-0.47865"
"","0.38975","0.09294","1.15830","1.56296","0.96766","0.89757","0.89118","0.30852","2.57122","1.86298","1.03582","1.17131","0.82017","2.08676","2.90121","2.10671","0.66174","0.47895"
"0.male#c.num_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#c.num_child","0.10830","0.05579","-1.10350***","-0.62504","-0.81033*","0.87567**","-0.62428**","-0.06609","2.46900**","0.75561","0.30351","1.24719**","-0.30318","0.46587","-0.90455","-0.31505","-0.21017","-0.08302"
"","0.11474","0.03065","0.28947","0.47239","0.39131","0.28260","0.24034","0.09848","0.93738","0.50977","0.33300","0.41743","0.39774","0.66381","0.80126","0.65408","0.25473","0.09424"
"0.male#c.age_youngest","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#c.age_youngest","0.00015","-0.01585","0.66059***","-0.07394","0.00664","-0.09595","0.02482","-0.00945","-0.72533***","-0.19196","-0.01637","-0.20421*","0.03505","-0.34783*","0.15437","0.03599","0.07346","0.02015"
"","0.02698","0.00853","0.07677","0.08524","0.03971","0.06380","0.06102","0.01864","0.21040","0.14480","0.06415","0.08154","0.05784","0.16313","0.19483","0.14005","0.05497","0.03183"
"_cons","0.31544","0.35643*","-1.60846***","2.54516*","1.12141","-2.49350***","4.05898***","-0.14172","130.72408***","5.62257***","19.43249***","69.43835***","18.86291***","17.36776***","35.66735***","30.09578***","3.02646***","-0.09852"
"","0.19583","0.18038","0.44020","1.22499","0.66320","0.47810","0.72163","0.35215","2.80681","1.52932","1.13284","0.98011","0.51606","1.69043","2.72230","2.42774","0.52925","0.45587"
"N","36832","36832","36832","36832","36832","36832","36832","36832","36832","36832","36832","36832","36832","36832","36832","36832","36832","36832"
