"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"1.educ3","0.10910","-0.25323*","-0.37142","-1.00460","-0.70873*","0.56520","-0.81999*","-0.04107","1.03502","2.89314***","0.33703","0.93884*","-0.98440***","-2.14959***","0.48513","1.19951","-0.45253","0.12513"
"","0.10230","0.11076","0.35782","0.73157","0.35428","0.33329","0.39330","0.17642","0.88724","0.77928","0.54868","0.45600","0.26641","0.63042","0.98037","0.89724","0.25452","0.19349"
"0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.hv_child","0.08634","-0.21152","19.80779***","-2.09691","0.98189","-0.39067","-1.86140**","-0.82672*","-12.26507***","-1.55876","-2.66825*","-1.91929","-1.73415***","-4.38462***","-5.32063**","-3.92842*","-1.08535**","-0.30379"
"","0.21626","0.13793","1.09552","1.31327","0.87237","0.73444","0.70185","0.37266","1.79669","1.77600","1.07856","1.14047","0.45073","1.22060","1.95937","1.85394","0.41432","0.32463"
"num_child","0.06790","-0.03830","0.68412","1.12223*","0.91819*","0.24822","-0.05706","0.01288","-2.82689***","-1.77141***","-0.55404","-1.17355***","-0.12621","0.79832","0.99094","0.44133","0.17541","-0.02973"
"","0.05343","0.05025","0.45222","0.55439","0.43434","0.24905","0.24819","0.19045","0.78644","0.51191","0.52413","0.30301","0.18550","0.52430","0.72792","0.70211","0.10365","0.11879"
"age_youngest","0.00348","0.01420","-1.28270***","-0.00465","-0.18811***","0.00664","0.14661**","0.03022","0.52804***","0.06482","0.08515","0.10885*","0.14304***","0.12618","0.74163***","0.62826***","0.09793***","0.05310"
"","0.01377","0.01064","0.05751","0.09130","0.05064","0.04470","0.05195","0.02467","0.13020","0.10147","0.08056","0.05419","0.03374","0.06974","0.12400","0.13213","0.02494","0.03293"
"0.male#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.male#1.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#1.married","-0.61637*","0.10572","-1.25366","0.77673","-2.53650","1.17053","1.81315*","0.32956","0.71539","4.96018*","-2.59291","0.97404","0.63629","-3.26222","0.27219","0.42925","0.64176","-0.23779"
"","0.27893","0.29611","1.17155","2.14596","1.32827","1.12140","0.88124","0.47640","2.95962","2.35879","1.76782","1.06739","0.87654","2.23071","3.27714","3.06082","0.48341","0.52500"
"0.male#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.male#1.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#1.hv_child","-0.31453","0.03341","-8.33719***","1.53843","0.90895","-1.42866","1.25280","0.80534","5.72939*","-0.95121","4.29899**","0.40621","0.56008","1.41532","1.35049","0.20739","0.40132","0.07459"
"","0.67420","0.16937","1.47681","1.65734","1.23497","0.92027","0.75758","0.58287","2.37489","1.85189","1.63629","1.56732","0.75267","1.48100","1.93562","1.65269","0.53394","0.51836"
"0.male#c.num_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#c.num_child","0.09684","0.00346","-1.15842","-0.57370","-0.55987","-0.14642","0.14895","-0.01636","1.60630","1.13798","0.07443","1.12063*","0.22032","-0.94706","0.02551","0.34714","0.15378","0.13369"
"","0.28996","0.08613","0.60286","0.91594","0.81708","0.42320","0.34589","0.25548","1.21091","0.64375","0.76853","0.44840","0.33963","0.82586","1.21438","1.17720","0.12714","0.19000"
"0.male#c.age_youngest","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#c.age_youngest","0.01456","0.00989","0.64352***","-0.03308","0.03040","0.07801","-0.11877","-0.02273","-0.25956","-0.10576","-0.02502","-0.09360","-0.09228","0.05710","-0.37532*","-0.29706","-0.04992","-0.05077"
"","0.04204","0.02741","0.08299","0.09687","0.05705","0.06729","0.06929","0.03509","0.17678","0.12027","0.14800","0.08266","0.04772","0.09447","0.16706","0.17854","0.03588","0.03882"
"_cons","0.42351","0.83584*","-0.51856","5.71278","0.01327","0.43787","4.48877*","0.77287","133.21354***","0.81780","19.58228***","70.65528***","19.46514***","22.69305***","28.33289***","22.78763**","2.60962***","-0.97155"
"","0.54156","0.34596","2.38919","3.28415","2.87117","1.78934","1.74644","0.84944","6.74090","3.46254","3.66684","1.37216","1.23680","3.27424","7.30086","7.03872","0.71847","0.61757"
"N","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217"
