"","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"(1)","-0.01801","0.00424","0.04175","-0.27391*","-0.23206**","-0.23171**","0.18682**","0.00305","-1.13475**","-0.32597","-0.00612","-0.49475***","0.20225*","-0.51016","0.38067","0.04124","0.20735**","0.05522"
"","0.01175","0.01615","0.07010","0.12082","0.07144","0.08115","0.07175","0.04035","0.36137","0.20217","0.08244","0.07127","0.08276","0.31764","0.34601","0.29805","0.06495","0.04726"
"N","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033"
