"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"1.educ3","-0.01284","-0.07910","-0.56153***","0.79498","0.34424","0.08855","0.07530","0.28690**","-0.42859","2.36289***","0.19992","-0.10677","-0.68720***","-2.19744***","0.28706","0.68480","-0.23876","0.34753***"
"","0.03504","0.05337","0.10793","0.42239","0.21251","0.31250","0.17356","0.09325","0.65715","0.47879","0.23831","0.23437","0.15860","0.57755","0.67138","0.53383","0.13883","0.09245"
"0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.hv_child","-0.02659","-0.17516","18.27736***","1.09528","1.70111***","0.11617","-0.17454","-0.54747**","-10.38019***","-1.06894","-2.17102***","-0.49215","-1.60591***","-5.04218***","-8.79069***","-6.68828***","-1.03826***","-0.27800"
"","0.07498","0.08988","0.37328","0.75564","0.35048","0.48689","0.30381","0.19558","1.10565","0.84121","0.45113","0.49446","0.23696","0.79389","1.11113","0.85449","0.21375","0.19907"
"num_child","0.01547","-0.04399","0.32335**","1.02301***","1.01637***","-0.14258","0.22297*","-0.07375","-2.72931***","-1.39939***","-0.25042","-1.23463***","0.12632","0.02882","1.41147***","0.91456***","0.47736***","0.04134"
"","0.02633","0.02269","0.12109","0.21570","0.11117","0.15954","0.09477","0.05398","0.32394","0.22081","0.14083","0.13089","0.08486","0.26520","0.30205","0.23786","0.08338","0.06392"
"age_youngest","0.00345","0.00526","-1.10446***","-0.11452**","-0.16841***","0.00286","0.03773*","0.01330","0.47209***","-0.01678","0.06525**","0.01415","0.10401***","0.30545***","0.73818***","0.61689***","0.08060***","0.00011"
"","0.00468","0.00507","0.02373","0.03861","0.01787","0.02540","0.01632","0.00938","0.06663","0.04528","0.02509","0.02771","0.01379","0.04486","0.06363","0.04941","0.01307","0.01043"
"0.male#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.male#1.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#1.married","-0.00788","0.20921","-0.78892**","-3.93306***","-4.96262***","2.10315*","-0.98692*","-0.08668","3.79352*","4.17764***","-1.81687**","2.03407***","-0.25941","-0.34190","0.72713","0.56161","-0.63616","-0.16734"
"","0.11009","0.11985","0.29193","1.08450","0.47088","0.83448","0.42912","0.27438","1.57345","1.18536","0.68484","0.59087","0.31576","1.32541","1.66635","1.25639","0.37757","0.19356"
"0.male#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.male#1.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#1.hv_child","0.10062","0.36648*","-8.51030***","-0.45656","0.60198","-1.65905","0.20291","0.39760","4.97831**","1.00406","1.69257*","0.88521","0.13830","1.25816","3.52145*","2.02807","-0.02667","0.01870"
"","0.15006","0.16609","0.57600","1.31953","0.66475","0.84693","0.53007","0.30119","1.75905","1.42999","0.73370","0.84108","0.37178","1.36277","1.59559","1.20115","0.35123","0.28113"
"0.male#c.num_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#c.num_child","-0.02524","-0.01391","-0.33742*","-0.91515***","-0.88736***","0.26044","-0.26052**","-0.02770","1.53267***","0.23458","0.15181","0.92846***","-0.03549","0.25331","-0.24095","-0.22055","0.00284","-0.00006"
"","0.03925","0.03454","0.16378","0.24857","0.16214","0.14421","0.09309","0.04900","0.30601","0.20585","0.14168","0.18351","0.12213","0.22715","0.29532","0.25024","0.09901","0.07395"
"0.male#c.age_youngest","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#c.age_youngest","-0.00275","-0.01390","0.55778***","0.02946","0.03256","0.05140","-0.04777","-0.00674","-0.36818**","-0.19066*","0.04350","-0.11472*","-0.02906","-0.07723","-0.20241","-0.12115","0.00361","0.00222"
"","0.00957","0.01122","0.03559","0.07611","0.03255","0.05297","0.03129","0.01765","0.11465","0.08910","0.04662","0.05118","0.02398","0.08683","0.10347","0.07632","0.02369","0.01488"
"_cons","0.33475*","0.68401**","-0.92975","0.10485","-2.02316**","-5.20535**","6.41272***","0.92064*","126.88663***","5.89092*","16.73012***","67.66757***","20.55105***","16.04697***","40.91951***","31.48513***","4.63273***","0.17955"
"","0.14334","0.24938","0.58311","1.88021","0.76942","1.60352","0.90096","0.46834","3.39524","2.34253","1.15371","1.06492","0.88458","3.08794","3.66979","2.99080","0.70014","0.41899"
"N","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071","150071"
