"","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"(1)","-0.03046","0.02160","0.24351","-0.89201**","-0.45766***","-0.21968**","-0.10930","-0.10536","-0.66983***","-0.32083","0.03644","-0.31859***","0.19016*","-0.25701","0.32718","-0.00895","0.19114**","0.04611"
"","0.02153","0.01959","0.15065","0.40534","0.15193","0.09702","0.23729","0.08526","0.13348","0.32916","0.09773","0.11669","0.10253","0.19135","0.31695","0.18500","0.09414","0.07662"
"N","7370","7370","7370","7370","7370","7370","7370","7370","7370","7370","7370","7370","7370","7370","7370","7370","7370","7370"
