"","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"(1)","-0.03600","0.01387*","0.15626*","-0.60005***","-0.36684***","-0.26182***","0.05556","-0.02695","-0.82314***","-0.33498*","0.06411","-0.35883***","0.19519**","-0.38863**","0.28906**","-0.04337","0.22163***","0.02104"
"","0.02443","0.00831","0.09375","0.14645","0.11014","0.09680","0.06816","0.04495","0.14159","0.19323","0.08618","0.11061","0.08695","0.19042","0.13044","0.06679","0.07747","0.04253"
"N","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712","20712"
