"","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"(1)","-0.00882","-0.01542","0.05717","-0.31489*","-0.19995***","-0.30623*","0.18040*","0.01090","-1.25536***","-0.44373*","-0.16604**","-0.42218***","0.23261**","-0.45602","0.53732","0.20738","0.20596***","0.06189"
"","0.01011","0.00873","0.04054","0.12300","0.05391","0.12629","0.07286","0.02881","0.27603","0.18410","0.06203","0.07488","0.07505","0.26287","0.30248","0.25567","0.05372","0.03359"
"N","143474","143474","143474","143474","143474","143474","143474","143474","143474","143474","143474","143474","143474","143474","143474","143474","143474","143474"
