"","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"(1)","0.02258","0.00620","-0.16384*","0.28148","-0.04821","-0.13446**","0.36809***","0.09606*","-0.95451**","-0.17704","-0.06407","-0.44105***","0.16862**","-0.44097","-0.19191","-0.47157","0.16427**","0.09809"
"","0.01922","0.03608","0.09056","0.24035","0.09013","0.05810","0.12592","0.05350","0.41672","0.24936","0.12437","0.13071","0.07009","0.34320","0.36229","0.31652","0.07222","0.10845"
"N","11326","11326","11326","11326","11326","11326","11326","11326","11326","11326","11326","11326","11326","11326","11326","11326","11326","11326"
