"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"1.educ1","0.04477","-0.13511","-1.63046**","-2.24657","-1.53828*","-2.52382**","1.37848","0.43705","-5.63532","2.96798","-1.11171","-0.79682","0.57162","-7.26640","9.60269*","6.27726","1.82663**","1.26888**"
"","0.18747","0.24463","0.51010","1.60537","0.67116","0.94267","1.02042","0.37379","4.77620","1.96521","1.03851","1.04506","0.71934","4.01895","4.83506","4.50675","0.65819","0.43678"
"0.educ2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","-0.07207","-0.07891","-0.34598","-0.02562","0.08803","-0.42130","-0.06460","0.37225*","0.71943","5.66143***","-0.61529","0.88678*","-0.95130**","-4.26219***","-0.19685","-0.52598","-0.00210","0.46591*"
"","0.06404","0.08780","0.33711","0.45297","0.30201","0.37776","0.42239","0.14593","1.60762","0.65396","0.37802","0.38159","0.33669","1.21613","1.45212","1.22910","0.33297","0.18622"
"0.educ3","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ3","0.01522","-0.08199","-0.32389","0.04202","-0.19905","-0.51157","0.34792","0.40473***","-1.80908","2.07179**","-0.10265","-0.11665","-0.33878","-3.32279**","2.15772","1.53283","0.28725","0.41311*"
"","0.05802","0.09380","0.18371","0.53821","0.32259","0.34173","0.33666","0.10581","1.26700","0.65039","0.33023","0.32892","0.31085","1.06699","1.27685","1.19060","0.25553","0.17895"
"0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.hv_child","-0.25369","-0.17343","10.37161***","3.47005","2.05229","3.29464","-1.30093","-0.57594","-4.18619","-0.95826","1.69329","-1.11380","-2.27868","-1.52874","-9.22836*","-6.10345**","-2.87289","-0.67241"
