"","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"(1)","0.04188","0.01288","0.10941","-0.16320","-0.30495","0.20983","-0.09556","0.02747","-0.73942","-0.88898***","-0.05373","-0.28091***","0.15175","0.33246","-0.26154","-0.32805","0.00765","-0.04068"
"","0.03257","0.01331","0.21979","0.25067","0.22980","0.15560","0.15190","0.06054","0.50446","0.13460","0.31975","0.05638","0.09278","0.28408","0.47205","0.43506","0.03216","0.02771"
"N","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217","18217"
