"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"age_youngest",".0198466",".0104796","-.5977531***","-.1742469***","-.1414788***","-.0857266",".030284",".0226745","-.0643952","-.1909828","-.0419511","-.0207079",".1306447**",".058602",".8060689***",".7164442***",".081784***",".0226506"
"",".0262883",".0156206",".0701655",".0617731",".0476768",".0592318",".0426533",".0210622",".1409094",".1418449",".0645283",".0640999",".057719",".0787981",".1337525",".0998753",".0258388",".021933"
"0.female#0.married","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.female#1.married","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#0.married","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#1.married",".1899569",".2379081","1.505526***","-.6608571","3.063598***","-5.724294***","1.50906**",".4907793","-8.302835***","-4.803884**","-.3558362","-2.195826**","1.57234*","-2.519628","7.030301***","3.513262","1.934788***",".7722345***"
"",".2830587",".2769067",".3932958","1.207521",".7886776","1.41389",".7269582",".3104724","2.040125","2.037236","1.019126",".9043347",".8042616","2.22842","2.555903","2.467303",".4938624",".2760439"
"0.female#0.hv_child","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.female#1.hv_child","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#0.hv_child","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#1.hv_child",".4686063",".1995919","8.580133***","-3.03398*","-.7540507","-2.194436","-.0486163","-.0368764","-12.93387***","-2.427812","-7.361826***","-.4736401","1.315168","-3.985756**","6.719514***","5.111619***",".8630645",".7274461"
"",".5661466",".2945168","1.747631","1.556904","1.046626","1.542731","1.009295",".5164639","2.537437","3.533071","1.384106","1.515582","1.498457","1.86348","2.478305","1.766151",".6667733",".4462013"
"0.female#c.num_child","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#c.num_child","-.1338982",".0116116","1.086483***",".8818528*",".6974599**","-.508525**",".6534517***",".0394662","-1.898603*","-.2061684",".3941892","-1.36202***",".1435913","-.8681946",".0525535","-.522792",".256659",".0419503"
"",".1358597",".0449229",".3762375",".4755038",".3539992",".2452379",".2214255",".1360167","1.142591",".7187748",".3679062",".4070957",".4209322",".8571805",".9711896",".7818048",".3050025",".1236566"
"0.female#c.age_youngest","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#c.age_youngest","-.0233358","-.0130409","-.6353597***",".1638245**","-.0152553",".1714524**",".014979","-.0073516",".8153561***",".2795678",".1488706*",".1246794","-.0407792",".3030174**","-.3074441*","-.2223598*","-.0480519","-.0353204"
"",".0322543",".0202226",".0963233",".080333",".0622963",".0866615",".0541597",".02034",".1672609",".1844965",".0791629",".1010931",".0830674",".1234779",".1793643",".1331924",".0445197",".0307241"
"_cons",".0396164",".4006994","-1.992596*","-.2205816","-2.972817***","-.3201318","3.506518***","-.4341512","138.7424***","12.22366***","22.8372***","68.19951***","16.58713***","18.89496***","31.03041***","26.22645***","2.475561***","-.6281755"
"",".1717981",".2851281","1.084731","1.309097",".8100335",".6606329",".8382961",".5867617","3.881727","2.177092","1.427913","1.099814",".7676001","2.617838","2.944597","2.522606",".7119962",".7354185"
"N","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033"
