"","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"(1)","-0.01996","0.01620","0.07534","-0.66092***","-0.46517***","-0.26106***","0.06725","-0.00194","-0.75558***","-0.32380","0.07003","-0.34881***","0.18603**","-0.33902*","0.34493**","0.00472","0.20472**","0.04530"
"","0.01575","0.01082","0.07491","0.19246","0.13336","0.09902","0.07227","0.05326","0.14353","0.20339","0.11786","0.11797","0.07278","0.18516","0.14703","0.04797","0.09035","0.04114"
"N","9386","9386","9386","9386","9386","9386","9386","9386","9386","9386","9386","9386","9386","9386","9386","9386","9386","9386"
