"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"1.educ1","0.00962","-0.07512","-1.07767*","-3.90120**","-2.02893**","-3.29470**","1.04849","0.37394","-4.47174","2.89021","-0.89735","-0.18317","0.61525","-6.89667*","9.51611**","5.98865*","2.14241***","1.20448***"
"","0.16738","0.19881","0.51902","1.38855","0.64594","1.23350","0.75595","0.30361","2.89237","2.30261","0.75728","0.64816","0.80231","3.38175","3.09855","2.94445","0.52560","0.30342"
"0.educ2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ2","-0.02933","-0.04304","-0.28213","-0.29897","0.13285","-0.79290","-0.05158","0.41265***","0.43269","5.42243***","-0.93887**","1.05783**","-0.87385**","-4.23485***","0.22078","-0.14661","0.05664","0.50848***"
"","0.06526","0.08560","0.22176","0.36255","0.22016","0.47082","0.35795","0.09872","1.18768","0.70197","0.30722","0.34472","0.33875","1.02579","1.13622","0.99363","0.25667","0.14460"
"0.educ3","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.educ3","0.01256","-0.07618","-0.28595","-0.07027","-0.24014","-0.52148","0.29515","0.39619***","-1.74626","2.04220**","-0.12297","-0.05796","-0.33506","-3.27247**","2.16610","1.55666","0.27850","0.40316*"
"","0.05877","0.09324","0.15499","0.55017","0.28281","0.40809","0.27322","0.10442","1.11965","0.65855","0.27954","0.32640","0.30374","1.01051","1.19581","1.07592","0.22058","0.17676"
"0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.hv_child","0.07620","-0.07776","19.43920***","-0.87567","0.96798","-0.96120","-0.29736","-0.58509*","-14.18041***","-1.67864","-2.87285***","-2.11348**","-1.14581*","-6.36964***","-4.38156*","-4.43944**","-0.29930","0.14058"
"","0.13716","0.08682","0.74014","0.75133","0.50244","0.59982","0.38946","0.23730","1.76200","1.39377","0.52524","0.65150","0.56863","1.47341","1.88784","1.43519","0.37740","0.34931"
"num_child","-0.02099","0.01970","0.72058**","0.92502*","1.01971***","-0.68327*","0.52579**","0.06279","-3.74650***","-1.69926***","-0.65443**","-1.25054***","0.38830*","-0.53057","2.10219**","0.95984","0.65381***","0.08088"
"","0.03349","0.03971","0.23181","0.37579","0.19962","0.27702","0.16881","0.09516","0.66868","0.29418","0.23134","0.24016","0.19623","0.56416","0.64807","0.55391","0.16832","0.07705"
"age_youngest","-0.00103","-0.00051","-1.23110***","-0.02090","-0.15376***","0.07246","0.04316","0.01724","0.72948***","0.07239","0.08381**","0.11389**","0.09417*","0.36522***","0.52405***","0.52160***","0.03233","-0.01079"
"","0.00999","0.00884","0.04566","0.05232","0.02937","0.03888","0.02774","0.01260","0.13617","0.08741","0.02893","0.04348","0.03763","0.10024","0.12230","0.10043","0.02650","0.02309"
"0.male#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.male#1.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#1.married","-0.04886","-0.12038","-1.38994***","0.06021","-2.89342***","4.96407***","-1.62949*","-0.38095","7.07221*","3.87572*","-0.96818","2.76419***","-1.32563","2.72611","-5.57324","-1.93649","-2.01507***","-0.66475"
"","0.18972","0.17132","0.33684","1.24365","0.58844","1.10120","0.68122","0.32090","2.79283","1.74323","0.88750","0.75509","0.68897","2.55182","2.97573","2.68474","0.56036","0.35750"
"0.male#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.male#1.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#1.hv_child","-0.08726","0.11803","-8.26776***","1.41066","1.21397","0.13983","-0.27685","0.33370","9.60794***","-0.08066","3.78348***","2.00972","-0.64841","4.54381*","-2.78162","-0.85018","-1.08004","-0.43696"
"","0.38575","0.20226","1.16603","1.40584","0.90757","0.76179","0.80188","0.27884","2.43514","1.95270","0.94476","1.10206","0.79153","1.99022","2.46742","1.81311","0.57704","0.43001"
"0.male#c.num_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#c.num_child","0.06671","-0.06758","-1.14152***","-0.59583","-0.77850","0.87054**","-0.59611**","-0.09177","2.48462**","0.64816","0.23631","1.09137**","-0.26107","0.76987","-0.74640","-0.22806","-0.21843","-0.09313"
"","0.10171","0.06355","0.27234","0.45989","0.40009","0.26646","0.21213","0.08969","0.82111","0.42347","0.33305","0.35587","0.34716","0.65364","0.69492","0.60656","0.23282","0.09536"
"0.male#c.age_youngest","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male#c.age_youngest","0.00610","-0.00132","0.62124***","-0.09044","-0.00554","-0.07857","-0.00027","-0.00607","-0.66500***","-0.16617","0.01289","-0.19412*","0.01064","-0.32825*","0.12943","0.02972","0.05786","0.02219"
"","0.02496","0.01785","0.07416","0.07328","0.03577","0.05234","0.05186","0.01603","0.18596","0.13918","0.06321","0.08008","0.05721","0.15111","0.17047","0.12820","0.04851","0.02766"
"_cons","0.23057","0.66686**","-1.68575***","2.21530","0.65563","-3.09063***","4.72540***","-0.07511","130.50929***","5.48582***","19.59267***","69.45450***","19.09189***","16.88441***","36.06373***","30.09896***","3.14912***","0.06860"
"","0.14262","0.21687","0.46641","1.39483","0.78000","0.61408","0.80492","0.38632","2.93064","1.56151","1.28325","0.93225","0.54742","1.79690","2.70005","2.51788","0.50603","0.44087"
"N","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033"
