"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"work_paper","-0.00187","0.01768","0.05496","-0.34259**","-0.21260***","-0.31864**","0.17305**","0.01561","-1.27546***","-0.43210*","-0.15752*","-0.42976***","0.23046**","-0.48655","0.54728*","0.22154","0.19817***","0.06751*"
"","0.01015","0.01403","0.03531","0.11250","0.05101","0.10565","0.06266","0.02811","0.24300","0.18893","0.06690","0.05957","0.07413","0.26302","0.26373","0.24756","0.04626","0.02750"
"0.male","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.male","0.09365","-0.02912","-0.07372","-3.64739***","-3.28521***","1.23712***","-1.46178***","-0.13752","5.75099***","4.86574***","0.57398","-0.10860","-2.00716***","2.42703***","-2.09442***","-0.69215*","-0.83549***","-0.47998***"
"","0.08066","0.08878","0.10118","0.31822","0.20053","0.26056","0.30131","0.10743","0.59033","0.61955","0.41330","0.27111","0.25126","0.44601","0.52350","0.32732","0.20237","0.14513"
"0.married","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.married","0.00073","-0.15677","1.65988***","3.13635***","2.93910***","-1.13734*","1.12391**","0.21067","-6.75427***","-4.09447***","0.03665","-2.25203***","1.58076***","-2.02519","2.11409","0.12742","1.44733***","0.04789"
"","0.06611","0.08893","0.24371","0.59031","0.27112","0.45787","0.37853","0.16220","1.41092","0.74980","0.38528","0.55575","0.33931","1.12546","1.34367","1.14241","0.27154","0.22110"
"0.black","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.black","-0.02855","0.03851","-0.35366*","-3.43958***","-1.77895***","-1.23289***","-0.50879***","0.08106","2.29511***","3.46221***","-0.22166","0.72995","-0.84814**","-0.82725*","1.48817*","0.25425","1.02760***","0.23603***"
"","0.04675","0.05040","0.15208","0.27626","0.14066","0.24259","0.14314","0.11485","0.53584","0.37946","0.22616","0.49733","0.27314","0.34316","0.63220","0.46956","0.21417","0.05900"
"age","-0.00103","-0.03317","-0.00026","1.13732***","0.69955***","0.72871**","-0.30705*","0.01610","1.14133*","0.89623*","-0.17605","0.46114***","-0.63465***","0.59466","-2.24419***","-1.50272**","-0.46165***","-0.10730"
"","0.02165","0.03059","0.07886","0.23853","0.11421","0.22180","0.13353","0.06690","0.51478","0.37345","0.15614","0.13641","0.15398","0.54384","0.54896","0.51492","0.09347","0.06386"
"age_sq","0.00001","0.00034","0.00035","-0.01118***","-0.00687***","-0.00830**","0.00399*","-0.00000","-0.01382*","-0.00756","0.00044","-0.00694***","0.00744***","-0.00722","0.02430***","0.01454*","0.00592***","0.00169*"
"","0.00027","0.00037","0.00094","0.00289","0.00137","0.00272","0.00160","0.00080","0.00630","0.00459","0.00182","0.00162","0.00188","0.00667","0.00673","0.00629","0.00113","0.00077"
"0.educ1","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
