TUCASEID,TULINENO,TURRP,TESEX,TERRP,TEAGE,TXSEX,TXRRP,TXAGE
20030100013280,1,18,1,18,60,0,0,0
20030100013280,2,20,2,20,72,0,0,0
20030100013280,3,22,2,22,37,0,0,0
20030100013344,1,18,2,18,41,0,0,0
20030100013344,2,20,1,20,42,0,0,0
20030100013344,3,22,1,22,3,0,0,0
20030100013344,4,22,2,22,0,0,0,0
20030100013352,1,18,2,18,26,0,0,0
20030100013352,2,20,1,20,35,0,0,0
20030100013848,1,18,2,18,36,0,0,0
20030100013848,2,20,1,20,39,0,0,0
20030100013848,3,22,2,22,11,0,0,0
20030100013848,4,22,2,22,9,0,0,0
20030100014165,1,18,1,18,51,0,0,0
20030100014165,2,20,2,20,50,0,0,0
20030100014165,3,22,2,22,14,0,0,0
20030100014165,4,22,1,22,14,0,0,0
20030100014169,1,18,2,18,32,0,0,0
20030100014169,2,21,1,21,32,0,0,0
20030100014169,3,-1,2,30,2,0,11,0
20030100014209,1,18,2,18,44,0,0,0
20030100014209,2,22,1,22,9,0,0,0
20030100014209,3,20,2,20,46,0,0,0
20030100014427,1,18,2,18,21,0,0,0
20030100014427,2,24,1,24,50,0,0,0
20030100014427,3,24,2,24,51,0,0,0
20030100014427,5,25,2,25,14,0,0,0
20030100014427,6,25,2,25,23,0,0,0
20030100014550,1,18,2,18,33,0,0,0
20030100014550,2,20,1,20,39,0,0,0
20030100014550,3,22,1,22,15,0,0,0
20030100014550,4,22,1,22,14,0,0,0
20030100014550,5,22,1,22,3,0,0,0
20030100014758,1,18,2,18,39,0,0,0
20030100014758,2,20,1,20,42,0,0,0
20030100014758,3,22,1,22,14,0,0,0
20030100014758,4,22,2,22,11,0,0,0
20030100014758,5,22,2,22,9,0,0,0
20030100014758,6,22,2,22,4,0,0,0
20030100014928,1,18,1,18,26,0,0,0
20030100014928,2,20,2,20,24,0,0,0
20030100014928,3,22,2,22,4,0,0,0
20030100015106,1,18,2,18,33,0,0,0
20030100015106,2,22,2,22,7,0,0,0
20030100015322,1,18,2,18,42,0,0,0
20030100015322,2,20,1,20,42,0,0,0
20030100015322,4,22,2,22,14,0,0,0
20030100015390,1,18,1,18,17,0,0,0
20030100015390,2,24,2,24,47,0,0,0
20030100015490,1,18,2,18,32,0,0,0
20030100015490,2,20,1,20,33,0,0,0
20030100015490,3,22,2,22,2,0,0,0
20030100015890,1,18,2,18,45,0,0,0
20030100015890,2,20,1,20,50,0,0,0
20030100015890,3,22,2,22,6,0,0,0
20030100015890,4,22,1,22,4,0,0,0
20030100015891,1,18,2,18,59,0,0,0
20030100015891,2,20,1,20,65,0,0,0
20030100015941,1,19,2,19,28,0,0,0
20030100015986,1,18,2,18,50,0,0,0
20030100015986,2,20,1,20,50,0,0,0
20030100016070,1,18,2,18,17,0,0,0
20030100016070,2,24,2,24,39,0,0,0
20030100016070,3,25,2,25,16,0,0,0
20030100016070,4,25,2,25,14,0,0,0
20030100016070,5,25,2,25,7,0,0,0
20030100016070,6,30,1,30,42,0,0,0
20030101030010,1,18,1,18,47,0,0,0
20030101030010,2,26,1,26,58,0,0,0
20030101030010,3,30,1,30,30,0,0,0
20030101030056,1,18,2,18,39,0,0,0
20030101030056,2,22,2,22,1,0,0,0
20030101030056,3,22,2,22,8,0,0,0
20030101030074,1,18,1,18,23,0,0,0
20030101030074,2,25,1,25,22,0,0,0
20030101030074,3,21,2,21,22,0,0,0
20030101030082,1,18,1,18,18,0,0,0
20030101030082,2,24,2,24,40,0,0,0
20030101030082,3,25,2,25,16,0,0,0
20030101030082,4,25,1,25,14,0,0,0
20030101030082,5,25,1,25,5,0,0,0
20030101030093,1,18,2,18,25,0,0,0
20030101030093,2,22,1,22,6,0,0,0
20030101030124,1,18,2,18,21,0,0,0
20030101030124,2,24,1,24,59,0,0,0
20030101030124,3,24,2,24,58,0,0,0
20030101030124,4,20,1,20,21,0,0,0
20030101030132,1,19,2,19,48,0,0,0
20030101030152,1,19,1,19,58,0,0,0
20030101030154,1,19,2,19,59,0,0,0
20030101030154,2,23,2,23,19,0,0,0
20030101030154,3,23,2,23,0,0,0,0
20030101030157,1,19,1,19,27,0,0,0
20030101030157,2,30,1,30,27,0,0,0
20030101030168,1,18,1,18,21,0,0,0
20030101030168,2,28,2,28,23,0,0,0
20030101030173,1,18,2,18,42,0,0,0
20030101030173,2,22,1,22,12,0,0,0
20030101030173,3,22,2,22,14,0,0,0
20030101030501,1,18,1,18,46,0,0,0
20030101030501,2,20,2,20,38,0,0,0
20030101030501,3,22,1,22,8,0,0,0
20030101030549,1,18,2,18,68,0,0,0
20030101030549,2,20,1,20,71,0,0,0
20030101030553,1,18,2,18,59,0,0,0
20030101030553,2,24,2,24,80,0,0,60
20030101030598,1,18,2,18,63,0,0,0
20030101030598,2,25,1,25,57,0,0,0
20030101030600,1,18,1,18,39,0,0,0
20030101030600,2,22,1,22,14,0,0,0
20030101030600,3,40,2,40,16,11,0,0
20030101030600,4,40,2,40,11,0,0,0
20030101030611,1,19,2,19,43,0,0,0
20030101030638,1,18,1,18,37,0,0,0
20030101030638,2,20,2,20,36,0,0,0
20030101030638,3,22,1,22,11,0,0,0
20030101030638,4,22,2,22,7,0,0,0
20030101030642,1,19,1,19,45,0,0,0
20030101030658,1,19,1,19,50,0,0,0
20030101030658,2,30,1,30,48,0,0,0
20030101030673,1,18,1,18,47,0,0,0
20030101030673,2,20,2,20,26,0,0,0
20030101030758,1,18,1,18,38,0,0,0
20030101030758,2,20,2,20,38,0,0,0
20030101030758,3,22,1,22,2,0,0,0
20030101030796,1,19,2,19,58,0,0,0
20030101030811,1,19,1,19,31,0,0,0
20030101030811,2,29,1,29,29,0,0,0
20030101030813,1,18,2,18,17,0,0,0
20030101030813,2,24,2,24,54,0,0,0
20030101030813,3,24,1,24,54,0,0,0
20030101030813,4,25,1,25,17,0,0,0
20030101030828,1,18,1,18,51,0,0,0
20030101030828,2,20,2,20,49,0,0,0
20030101030830,1,18,2,18,21,0,0,0
20030101030830,2,20,1,20,29,0,0,0
20030101030830,3,22,2,22,8,0,0,0
20030101030830,4,22,1,22,1,0,0,0
20030101030830,5,22,1,22,0,0,0,0
20030101030843,1,19,2,19,79,0,0,0
20030101030862,1,18,1,18,41,0,0,0
20030101030862,2,22,1,22,16,0,0,0
20030101030862,3,20,2,20,39,0,0,0
20030101030862,4,22,1,22,15,0,0,0
20030101030862,5,22,2,22,10,0,0,0
20030101030883,1,19,2,19,55,0,0,0
20030101030914,1,18,2,18,36,0,0,0
20030101030914,2,20,1,20,37,0,0,0
20030101030914,4,22,1,22,7,0,0,0
20030101030914,5,22,1,22,6,0,0,0
20030101030914,6,22,2,22,15,0,0,0
20030101030930,1,19,1,19,40,0,0,0
20030101030930,2,21,1,21,39,0,0,0
20030101030947,1,19,1,19,47,0,0,0
20030101030962,1,18,1,18,17,0,0,0
20030101030962,2,24,2,24,44,0,0,0
20030101030962,3,24,1,24,46,0,0,0
20030101031007,1,18,1,18,67,0,0,0
20030101031007,2,20,2,20,69,0,0,0
20030101031020,1,18,1,18,29,0,0,0
20030101031020,2,20,2,20,29,0,0,0
20030101031020,3,22,2,22,1,0,0,0
20030101031020,4,22,1,22,5,0,0,0
20030101031030,1,18,2,18,58,0,0,0
20030101031030,2,20,1,20,57,0,0,0
20030101031035,1,18,2,18,34,0,0,0
20030101031035,2,20,1,20,34,0,0,0
20030101031035,3,22,1,22,5,0,0,0
20030101031035,4,22,1,22,2,0,0,0
20030101031036,1,18,2,18,36,0,0,0
20030101031036,2,20,1,20,42,0,0,0
20030101031036,3,22,2,22,0,0,0,0
20030101031047,1,18,2,18,46,0,0,0
20030101031047,2,20,1,20,49,0,0,0
20030101031047,3,22,1,22,9,0,0,0
20030101031049,1,18,2,18,80,0,0,60
20030101031049,2,23,2,23,44,0,0,0
20030101031049,5,26,1,26,10,0,0,0
20030101031055,1,18,2,18,70,0,0,0
20030101031073,1,18,1,18,45,0,0,0
20030101031073,2,20,2,20,43,0,0,0
20030101031073,3,22,2,22,17,0,0,0
20030101031073,4,22,1,22,14,0,0,0
20030101031074,1,19,1,19,26,0,0,0
20030101031095,1,18,1,18,54,0,0,0
20030101031095,2,20,2,20,56,0,0,0
20030101031117,1,18,2,18,37,0,0,0
20030101031117,2,20,1,20,45,0,0,0
20030101031117,3,22,1,22,4,0,0,0
20030101031117,4,22,2,22,6,0,0,0
20030101031150,1,19,2,19,67,0,0,0
20030101031157,1,18,2,18,41,0,0,0
20030101031157,2,22,1,22,19,0,0,0
20030101031157,3,22,1,22,15,0,0,0
20030101031157,4,22,2,22,10,0,0,0
20030101031171,1,18,2,18,31,0,0,0
20030101031171,2,20,1,20,35,0,0,0
20030101031171,3,22,1,22,2,0,0,0
20030101031183,1,19,2,19,58,0,0,0
20030101031197,1,18,2,18,45,0,0,0
20030101031197,2,20,1,20,44,0,0,0
20030101031197,3,22,2,22,15,0,0,0
20030101031197,4,22,2,22,13,0,0,0
20030101031197,5,22,1,22,10,0,0,0
20030101031225,1,19,2,19,78,0,0,0
20030101031231,1,18,2,18,68,0,0,0
20030101031231,2,22,2,22,33,0,0,0
20030101031231,3,23,1,23,8,0,0,0
20030101031231,4,23,1,23,5,0,0,0
20030101031284,1,19,2,19,80,0,0,60
20030101031299,1,18,1,18,52,0,0,0
20030101031299,2,20,2,20,50,0,0,0
20030101031299,4,26,2,26,70,0,0,0
20030101031318,1,18,2,18,32,0,0,0
20030101031318,2,20,1,20,42,0,0,0
20030101031318,3,22,2,22,12,0,0,0
20030101031318,4,22,1,22,6,0,0,0
20030101031347,1,19,2,19,80,0,0,0
20030101031400,1,18,2,18,32,0,0,0
20030101031400,3,22,2,22,14,0,0,0
20030101031400,4,22,1,22,12,0,0,0
20030101031413,1,18,2,18,15,0,0,0
20030101031413,2,24,2,24,40,0,0,0
20030101031413,3,24,1,24,42,0,0,0
20030101031413,4,25,2,25,16,0,0,0
20030101031414,1,18,1,18,46,0,0,0
20030101031414,2,20,2,20,43,0,0,0
20030101031414,3,22,2,22,12,0,0,0
20030101031414,4,22,1,22,9,0,0,0
20030101031436,1,19,1,19,37,0,0,0
20030101031436,2,28,2,28,56,0,0,0
20030101031444,1,19,2,19,80,0,0,60
20030101031468,1,19,1,19,42,0,0,0
20030101031490,1,18,2,18,53,0,0,0
20030101031490,2,20,1,20,55,0,0,0
20030101031490,3,22,1,22,19,0,0,0
20030101031494,1,18,1,18,39,0,0,0
20030101031494,2,20,2,20,37,0,0,0
20030101031494,3,22,1,22,12,0,0,0
20030101031494,4,22,2,22,7,0,0,0
20030101031494,5,22,2,22,5,0,0,0
20030101031520,1,18,1,18,75,0,0,0
20030101031520,2,20,2,20,72,0,0,0
20030101031567,1,18,2,18,38,0,0,0
20030101031567,2,22,2,22,10,0,0,0
20030101031567,3,22,1,22,7,0,0,0
20030101031570,1,18,2,18,54,0,0,0
20030101031570,2,20,1,20,67,0,0,0
20030101031604,1,19,1,19,24,0,0,0
20030101031606,1,18,1,18,79,0,0,0
20030101031606,2,20,2,20,74,0,0,0
20030101031612,1,18,1,18,52,0,0,0
20030101031612,2,24,2,24,80,0,0,60
20030101031634,1,18,1,18,29,0,0,0
20030101031634,2,20,2,20,24,0,0,0
20030101031634,3,22,2,22,0,0,0,0
20030101031643,1,18,1,18,67,0,0,0
20030101031643,2,20,2,20,68,0,0,0
20030101031654,1,18,2,18,32,0,0,0
20030101031654,2,20,1,20,38,0,0,0
20030101031654,4,22,1,22,6,0,0,0
20030101031654,5,22,1,22,3,0,0,0
20030101031670,1,18,1,18,65,0,0,0
20030101031670,2,20,2,20,50,0,0,0
20030101031670,3,22,2,22,16,0,0,0
20030101031676,1,18,2,18,36,0,0,0
20030101031676,2,20,1,20,39,0,0,0
20030101031676,3,22,2,22,13,0,0,0
20030101031676,4,22,2,22,7,0,0,0
20030101031678,1,18,2,18,54,0,0,0
20030101031678,2,20,1,20,54,0,0,0
20030101031678,3,22,2,22,18,0,0,0
20030101031679,1,18,1,18,17,0,0,0
20030101031679,2,24,2,24,39,0,0,0
20030101031679,3,-1,1,30,34,0,11,0
20030101031679,4,25,2,25,18,0,0,0
20030101031696,1,18,1,18,48,0,0,0
20030101031696,2,20,2,20,47,0,0,0
20030101031696,3,22,1,22,16,0,0,0
20030101031711,1,18,2,18,74,0,0,0
20030101031711,2,20,1,20,77,0,0,0
20030101031741,1,18,2,18,61,0,0,0
20030101031741,2,23,2,23,13,0,0,0
20030101031749,1,18,2,18,46,0,0,0
20030101031749,2,20,1,20,45,0,0,0
20030101031749,3,22,1,22,13,0,0,0
20030101031749,4,22,2,22,12,0,0,0
20030101031752,1,18,1,18,57,0,0,0
20030101031752,2,20,2,20,53,0,0,0
20030101031761,1,18,2,18,56,0,0,0
20030101031761,2,20,1,20,56,0,0,0
20030101031761,3,22,2,22,21,0,0,0
20030101031766,1,18,2,18,20,0,0,0
20030101031766,2,24,1,24,45,0,0,0
20030101031766,3,24,2,24,40,0,0,0
20030101031766,4,25,2,25,18,0,0,0
