TUCASEID,TULINENO,TURRP,TESEX,TERRP,TEAGE,TXSEX,TXRRP,TXAGE
20040101041127,1,18,1,18,49,0,0,0
20040101041127,2,20,2,20,49,0,0,0
20040101041127,3,22,1,22,15,0,0,0
20040101041127,4,22,2,22,9,0,0,0
20040101041145,1,18,2,18,52,0,0,0
20040101041145,2,20,1,20,62,0,0,0
20040101041145,4,22,2,22,22,0,0,0
20040101041157,1,18,2,18,55,0,0,0
20040101041157,2,20,1,20,55,0,0,0
20040101041164,1,18,1,18,50,0,0,0
20040101041164,2,20,2,20,49,0,0,0
20040101041164,3,26,1,26,20,0,0,0
20040101041169,1,18,1,18,73,0,0,0
20040101041169,2,20,2,20,70,0,0,0
20040101041184,1,18,1,18,35,0,0,0
20040101041184,2,20,2,20,34,0,0,0
20040101041184,3,22,1,22,6,0,0,0
20040101041198,1,18,1,18,53,0,0,0
20040101041198,2,20,2,20,54,0,0,0
20040101041198,3,22,2,22,26,0,0,0
20040101041198,4,26,1,26,5,0,0,0
20040101041211,1,18,2,18,66,0,0,0
20040101041211,2,20,1,20,68,0,0,0
20040101041216,1,18,2,18,49,0,0,0
20040101041216,2,20,1,20,50,0,0,0
20040101041216,3,22,1,22,21,0,0,0
20040101041216,4,22,1,22,17,0,0,0
20040101041232,1,18,2,18,60,0,0,0
20040101041232,2,20,1,20,58,0,0,0
20040101041251,1,18,1,18,38,0,0,0
20040101041251,2,20,2,20,52,0,0,0
20040101041269,1,18,1,18,34,0,0,0
20040101041269,2,26,2,26,64,0,0,0
20040101041269,3,21,2,21,25,0,0,0
20040101041269,4,22,2,22,6,0,0,0
20040101041269,5,22,1,22,3,0,0,0
20040101041270,1,18,2,18,24,0,0,0
20040101041270,2,20,1,20,25,0,0,0
20040101041270,3,22,2,22,2,0,0,0
20040101041288,1,18,1,18,64,0,0,0
20040101041288,2,21,2,21,52,0,0,0
20040101041321,1,18,1,18,35,0,0,0
20040101041321,2,20,2,20,39,0,0,0
20040101041321,3,22,1,22,13,0,0,0
20040101041356,1,18,2,18,48,0,0,0
20040101041356,2,20,1,20,49,0,0,0
20040101041356,3,22,2,22,11,0,0,0
20040101041356,4,22,2,22,8,0,0,0
20040101041356,5,26,2,26,75,0,0,0
20040101041365,1,19,1,19,70,0,0,0
20040101041380,1,19,2,19,59,0,0,0
20040101041385,1,18,2,18,30,0,0,0
20040101041385,2,20,1,20,56,0,0,0
20040101041388,1,18,1,18,60,0,0,0
20040101041388,2,22,1,22,35,0,0,0
20040101041394,1,18,2,18,33,0,0,0
20040101041394,2,22,1,22,3,0,0,0
20040101041394,4,22,2,24,56,0,10,0
20040101041397,1,18,1,18,80,0,0,60
20040101041397,2,26,1,26,47,0,0,0
20040101041397,3,22,2,22,49,0,0,0
20040101041397,4,23,2,23,23,0,0,0
20040101041397,5,23,2,23,21,0,0,0
20040101041397,6,20,2,20,80,0,0,60
20040101041399,1,18,1,18,42,0,0,0
20040101041399,2,20,2,20,40,0,0,0
20040101041399,3,22,1,22,10,0,0,0
20040101041399,4,22,1,22,8,0,0,0
20040101041399,5,22,2,22,6,0,0,0
20040101041399,6,22,2,22,3,0,0,0
20040101041402,1,18,2,18,69,0,0,0
20040101041402,2,20,1,20,70,0,0,0
20040101041429,1,18,1,18,70,0,0,0
20040101041429,2,20,2,20,65,0,0,0
20040101041436,1,18,2,18,48,0,0,0
20040101041436,2,22,1,22,14,0,0,0
20040101041440,1,18,2,18,51,0,0,0
20040101041440,2,20,1,20,51,0,0,0
20040101041445,1,18,2,18,31,0,0,0
20040101041445,2,22,1,22,8,0,0,0
20040101041445,3,22,1,22,5,0,0,0
20040101041445,4,22,2,22,1,0,0,0
20040101041445,5,22,2,22,12,0,0,0
20040101041460,1,18,2,18,48,0,0,0
20040101041460,2,20,1,20,52,0,0,0
20040101041473,1,18,2,18,42,0,0,0
20040101041473,2,20,1,20,47,0,0,0
20040101041473,3,22,1,22,18,0,0,0
20040101041473,4,22,1,22,14,0,0,0
20040101041510,1,18,2,18,57,0,0,0
20040101041510,2,20,1,20,59,0,0,0
20040101041538,1,18,2,18,32,0,0,0
20040101041538,2,20,1,20,32,0,0,0
20040101041538,3,22,2,22,5,0,0,0
20040101041538,4,22,2,22,2,0,0,0
20040101041545,1,18,2,18,45,0,0,0
20040101041545,2,20,1,20,40,0,0,0
20040101041554,1,18,2,18,24,0,0,0
20040101041554,2,20,1,20,23,0,0,0
20040101041555,1,18,1,18,17,0,0,0
20040101041555,2,24,2,24,39,0,0,0
20040101041555,3,24,1,24,39,0,0,0
20040101041555,4,25,2,25,6,0,0,0
20040101041562,1,18,2,18,57,0,0,0
20040101041562,2,20,1,20,54,0,0,0
20040101041564,1,18,2,18,78,0,0,0
20040101041564,2,20,1,20,80,0,0,60
20040101041568,1,18,2,18,78,0,0,0
20040101041568,2,22,1,22,47,0,0,0
20040101041568,3,22,2,22,49,0,0,0
20040101041570,1,18,1,18,42,0,0,0
20040101041570,2,20,2,20,37,0,0,0
20040101041570,3,22,2,22,4,0,0,0
20040101041570,4,22,2,22,1,0,0,0
20040101041578,1,19,1,19,25,0,0,0
20040101041578,2,21,2,21,24,0,0,0
20040101041582,1,18,1,18,19,0,0,0
20040101041582,2,24,1,24,38,0,0,0
20040101041582,3,24,2,24,36,0,0,0
20040101041582,4,25,1,25,17,0,0,0
20040101041582,7,25,1,25,11,0,0,0
20040101041593,1,18,1,18,51,0,0,0
20040101041593,2,20,2,20,49,0,0,0
20040101041601,1,18,2,18,26,0,0,0
20040101041601,2,20,1,20,24,0,0,0
20040101041603,1,18,1,18,15,0,0,0
20040101041603,2,24,2,24,41,0,0,0
20040101041603,3,24,1,24,41,0,0,0
20040101041603,4,25,1,25,17,0,0,0
20040101041603,5,25,2,25,15,0,0,0
20040101041611,1,18,1,18,55,0,0,0
20040101041611,2,20,2,20,47,0,0,0
20040101041611,3,22,2,22,17,0,0,0
20040101041611,4,22,1,22,31,0,0,0
20040101041611,5,22,2,22,12,0,0,0
20040101041615,1,18,2,18,32,0,0,0
20040101041615,2,24,2,24,68,0,0,0
20040101041615,3,25,2,25,37,0,0,0
20040101041619,1,18,2,18,20,0,0,0
20040101041619,2,24,1,24,44,0,0,0
20040101041619,3,24,2,24,42,0,0,0
20040101041619,4,25,2,25,17,0,0,0
20040101041619,5,25,1,25,13,0,0,0
20040101041620,1,18,2,18,80,0,0,60
20040101041620,2,20,1,20,80,0,0,60
20040101041632,1,19,1,19,53,0,0,0
20040101041659,1,18,2,18,30,0,0,0
20040101041659,2,20,1,20,31,0,0,0
20040101041680,1,19,2,19,37,0,0,0
20040101041684,1,19,1,19,26,0,0,0
20040101041684,2,20,2,20,24,0,0,0
20040101041684,3,22,1,22,0,0,0,0
20040101041688,1,19,1,19,47,0,0,0
20040101041712,1,18,1,18,61,0,0,0
20040101041712,2,20,2,20,61,0,0,0
