TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20100101100019,1,30,18,2,0,0,0
20100101100019,2,10,22,1,0,0,0
20100101100019,3,6,22,2,0,0,0
20100101100019,4,5,22,1,0,0,0
20100101100019,5,3,22,1,0,0,0
20100101100019,6,33,28,1,0,0,0
20100101100020,1,27,18,2,0,0,0
20100101100020,2,9,22,1,0,0,0
20100101100045,1,20,18,1,0,0,0
20100101100045,2,18,20,2,0,0,0
20100101100045,3,1,22,1,0,0,0
20100101100045,4,28,25,1,0,0,0
20100101100050,1,69,19,2,0,0,0
20100101100053,1,31,19,2,0,0,0
20100101100087,1,63,18,2,0,0,0
20100101100087,2,66,20,1,0,0,0
20100101100095,1,57,19,1,0,0,0
20100101100098,1,49,19,2,0,0,0
20100101100117,1,51,18,2,0,0,0
20100101100117,2,53,20,1,0,0,0
20100101100119,1,27,19,2,0,0,0
20100101100119,2,31,21,1,0,0,0
20100101100174,1,44,18,2,0,0,0
20100101100174,2,8,23,1,0,0,0
20100101100175,1,17,18,1,0,0,0
20100101100175,2,37,24,2,0,0,0
20100101100175,3,15,25,2,0,0,0
20100101100175,4,12,25,2,0,0,0
20100101100175,5,2,25,2,0,0,0
20100101100501,1,58,18,2,0,0,0
20100101100501,2,58,20,1,0,0,0
20100101100517,1,58,19,2,0,0,0
20100101100518,1,24,18,1,0,0,0
20100101100518,2,58,24,1,0,0,0
20100101100518,3,56,24,2,0,0,0
20100101100520,1,55,18,2,0,0,0
20100101100520,2,52,20,1,0,0,0
20100101100534,1,30,18,2,0,0,0
20100101100534,2,52,24,1,0,0,0
20100101100534,3,65,24,2,0,0,0
20100101100534,4,10,22,1,0,0,0
20100101100534,5,4,22,2,0,0,0
20100101100538,1,63,19,2,0,0,0
20100101100543,1,37,18,2,0,0,0
20100101100543,2,7,22,1,0,0,0
20100101100543,3,5,22,2,0,0,0
20100101100543,4,4,22,2,0,0,0
20100101100554,1,67,18,1,0,0,0
20100101100554,2,65,20,2,0,0,0
20100101100557,1,33,18,1,0,0,0
20100101100557,2,31,20,2,0,0,0
20100101100557,3,1,22,1,0,0,0
20100101100571,1,57,18,1,0,0,0
20100101100571,2,56,20,2,0,0,0
20100101100603,1,48,18,2,0,0,0
20100101100603,2,45,20,1,0,0,0
20100101100603,3,11,22,2,0,0,0
20100101100603,4,9,22,2,0,0,0
20100101100605,1,65,19,1,0,0,0
20100101100613,1,80,19,2,0,0,0
20100101100638,1,48,19,1,0,0,0
20100101100638,2,43,21,1,0,0,0
20100101100641,1,72,19,2,0,0,0
20100101100651,1,54,19,2,0,0,0
20100101100658,1,63,18,1,0,0,0
20100101100658,2,63,20,2,0,0,0
20100101100675,1,74,18,2,0,0,0
20100101100675,2,79,20,1,0,0,0
20100101100681,1,63,19,1,0,0,0
20100101100682,1,69,18,1,0,0,0
20100101100682,2,72,20,2,0,0,0
