TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20160101160045,1,62,18,2,0,0,0
20160101160045,2,65,20,1,0,0,0
20160101160045,3,43,22,1,0,0,0
20160101160066,1,69,18,1,0,0,0
20160101160066,2,67,20,2,0,0,0
20160101160069,1,24,18,2,0,0,0
20160101160069,2,59,24,2,0,0,0
20160101160069,3,8,22,2,0,0,0
20160101160069,4,0,22,1,0,0,0
20160101160083,1,31,19,2,0,0,0
20160101160083,2,11,22,1,0,0,0
20160101160083,3,9,22,2,0,0,0
20160101160083,4,8,22,1,0,0,0
20160101160084,1,59,18,2,0,0,0
20160101160084,2,79,20,1,0,0,0
20160101160094,1,16,18,2,0,0,0
20160101160094,2,43,24,2,0,0,0
20160101160094,3,13,25,2,0,0,0
20160101160094,4,12,25,1,0,0,0
20160101160094,5,4,25,1,0,0,0
20160101160116,1,43,18,2,0,0,0
20160101160116,2,52,20,1,0,0,0
20160101160116,3,9,22,1,0,0,0
20160101160116,4,7,22,2,0,0,0
20160101160116,5,5,22,1,0,0,0
20160101160135,1,34,18,2,0,0,0
20160101160135,2,14,22,1,0,0,0
20160101160135,3,10,22,1,0,0,0
20160101160135,4,0,22,1,0,0,0
20160101160139,1,63,18,1,0,0,0
20160101160139,2,57,20,2,0,0,0
20160101160533,1,39,18,2,0,0,0
20160101160533,2,38,20,1,0,0,0
20160101160533,3,11,22,2,0,0,0
20160101160533,4,7,22,2,0,0,0
20160101160546,1,35,18,1,0,0,0
20160101160546,2,36,20,2,0,0,0
20160101160546,3,5,22,1,0,0,0
20160101160546,4,1,22,1,0,0,0
20160101160550,1,54,18,2,0,0,0
20160101160550,2,50,21,2,0,0,0
20160101160550,3,12,22,1,0,0,0
20160101160550,4,5,22,2,0,0,0
20160101160560,1,40,19,2,0,0,0
20160101160564,1,19,18,2,0,0,0
20160101160564,2,46,24,2,0,0,0
20160101160564,3,50,24,1,0,0,0
20160101160564,4,23,26,2,0,0,0
20160101160564,5,26,25,1,0,0,0
20160101160569,1,76,18,2,0,0,0
20160101160569,2,76,20,1,0,0,0
20160101160571,1,65,18,2,0,0,0
20160101160571,2,67,20,1,0,0,0
20160101160573,1,16,18,1,0,0,0
20160101160573,2,80,26,2,0,0,0
20160101160573,3,54,24,1,0,0,0
20160101160573,4,43,24,2,0,0,0
20160101160573,5,19,25,2,0,0,0
20160101160573,6,18,25,2,0,0,0
20160101160574,1,70,19,1,0,0,0
20160101160574,2,71,20,2,0,0,0
20160101160574,3,32,22,2,0,0,0
20160101160574,4,13,23,2,0,0,0
20160101160578,1,68,18,1,0,0,0
20160101160578,2,49,20,2,0,0,0
20160101160578,3,17,22,1,0,0,0
20160101160578,4,15,22,2,0,0,0
20160101160591,1,36,18,2,0,0,0
20160101160591,2,46,20,1,0,0,0
20160101160591,3,0,22,1,0,0,0
20160101160602,1,45,19,1,0,0,0
20160101160602,2,40,21,2,0,0,0
20160101160602,3,17,30,1,0,0,0
20160101160611,1,50,19,2,0,0,0
20160101160613,1,52,19,2,0,0,0
20160101160631,1,70,19,2,0,0,0
20160101160632,1,26,19,1,0,0,0
20160101160648,1,63,19,1,0,0,0
20160101160658,1,25,18,2,0,0,0
20160101160658,2,27,20,1,0,0,0
20160101160660,1,74,18,2,0,0,0
20160101160660,2,74,20,1,0,0,0
20160101160663,1,32,18,2,0,0,0
20160101160663,2,31,20,1,0,0,0
20160101160663,3,7,22,2,0,0,0
20160101160663,4,4,22,2,0,0,0
20160101160674,1,65,18,1,0,0,0
20160101160674,2,64,20,2,0,0,0
20160101160680,1,76,19,2,0,0,0
20160101160694,1,22,19,1,0,0,0
20160101160694,2,22,20,2,0,0,0
20160101160734,1,43,18,1,0,0,0
20160101160734,2,44,20,2,0,0,0
20160101160734,3,8,22,1,0,0,0
20160101160734,4,6,22,1,0,0,0
20160101160758,1,52,18,1,0,0,0
20160101160758,2,50,20,2,0,0,0
20160101160758,3,14,22,2,0,0,0
20160101160769,1,50,18,2,0,0,0
20160101160769,2,40,20,1,0,0,0
20160101160769,3,17,22,2,0,0,0
20160101160769,4,12,22,1,0,0,0
20160101160813,1,46,18,1,0,0,0
20160101160813,2,48,20,2,0,0,0
20160101160813,3,17,22,2,0,0,0
20160101160813,4,17,40,1,0,0,0
20160101160820,1,17,18,2,0,0,0
20160101160820,2,63,26,2,0,0,0
20160101160820,3,48,24,2,0,0,0
20160101160820,4,26,25,1,0,0,0
20160101160820,5,2,26,1,0,0,0
20160101160828,1,44,18,2,0,0,0
20160101160828,2,46,20,1,0,0,0
20160101160828,3,15,22,2,0,0,0
20160101160828,4,12,22,1,0,0,0
20160101160829,1,76,19,2,0,0,0
20160101160835,1,53,18,2,0,0,0
20160101160835,2,16,22,1,0,0,0
20160101160835,3,22,22,2,0,0,0
20160101160835,4,3,23,1,0,0,0
20160101160837,1,46,18,2,0,0,0
20160101160837,2,43,20,1,0,0,0
20160101160837,3,13,22,1,0,0,0
20160101160837,4,10,22,1,0,0,0
20160101160846,1,29,18,2,0,0,0
20160101160846,2,33,21,1,0,0,0
20160101160846,3,2,22,2,0,0,0
20160101160846,4,0,22,1,0,0,0
20160101160856,1,69,19,1,0,0,0
20160101160862,1,35,18,2,0,0,0
20160101160862,2,35,20,1,0,0,0
20160101160862,3,5,22,2,0,0,0
20160101160869,1,45,18,1,0,0,0
20160101160869,2,17,22,2,0,0,0
20160101160869,3,15,22,2,0,0,0
20160101160869,4,7,22,2,0,0,0
20160101160884,1,68,18,1,0,0,0
20160101160884,2,67,20,2,0,0,0
20160101160884,3,38,22,1,0,0,0
20160101160884,4,10,23,1,0,0,0
20160101160884,5,8,23,2,0,0,0
20160101160884,6,42,26,2,0,0,0
20160101160894,1,58,18,2,0,0,0
20160101160894,2,56,20,1,0,0,0
20160101160914,1,27,18,1,0,0,0
20160101160914,2,24,20,2,0,0,0
20160101160914,3,3,22,2,0,0,0
20160101160914,4,1,22,1,0,0,0
20160101160915,1,40,19,1,0,0,0
20160101160916,1,22,18,1,0,0,0
20160101160916,2,42,24,1,0,0,0
20160101160917,1,56,19,2,0,0,0
20160101160917,2,69,21,1,0,0,0
20160101160942,1,85,19,2,60,0,0
20160101160969,1,75,19,2,0,0,0
20160101160974,1,47,19,1,0,0,0
20160101160982,1,59,19,2,0,0,0
20160101160995,1,18,18,1,0,0,0
20160101160995,2,52,24,1,0,0,0
20160101160995,3,50,24,2,0,0,0
20160101160995,4,15,25,2,0,0,0
20160101160995,5,12,25,2,0,0,0
20160101161013,1,30,18,1,0,0,0
20160101161013,2,7,22,2,0,0,0
20160101161019,1,85,18,1,60,0,0
20160101161019,2,85,20,2,60,0,0
20160101161031,1,76,19,2,0,0,0
20160101161056,1,85,19,1,60,0,0
20160101161068,1,70,19,2,0,0,0
20160101161070,1,20,18,1,0,0,0
20160101161070,2,63,24,1,0,0,0
20160101161070,3,55,24,2,0,0,0
20160101161070,4,22,25,1,0,0,0
20160101161076,1,51,18,2,0,0,0
20160101161076,2,47,20,1,0,0,0
20160101161076,3,26,22,2,0,0,0
20160101161076,4,18,22,2,0,0,0
20160101161076,5,21,22,1,0,0,0
20160101161080,1,49,18,1,0,0,0
20160101161080,2,48,20,2,0,0,0
20160101161080,3,15,22,1,0,0,0
20160101161080,4,13,22,1,0,0,0
20160101161080,5,11,22,1,0,0,0
20160101161086,1,26,18,2,0,0,0
20160101161086,2,29,20,1,0,0,0
20160101161086,3,0,22,1,0,0,0
20160101161107,1,33,18,1,0,0,0
20160101161107,2,33,20,2,0,0,0
20160101161107,3,10,22,1,0,0,0
20160101161107,4,8,22,2,0,0,0
20160101161115,1,37,18,1,0,0,0
20160101161115,2,36,20,2,0,0,0
20160101161115,3,11,22,2,0,0,0
20160101161115,4,6,22,2,0,0,0
20160101161115,5,5,22,1,0,0,0
20160101161115,6,4,22,1,0,0,0
20160101161136,1,40,19,1,0,0,0
20160101161141,1,68,18,1,0,0,0
20160101161141,2,61,20,2,0,0,0
20160101161144,1,66,19,2,0,0,0
20160101161156,1,43,18,2,0,0,0
20160101161156,2,43,20,1,0,0,0
20160101161156,3,11,22,1,0,0,0
20160101161156,4,6,22,1,0,0,0
20160101161157,1,61,19,1,0,0,0
20160101161158,1,80,19,1,0,0,0
20160101161187,1,54,19,1,0,0,0
20160101161189,1,46,18,2,0,0,0
20160101161189,2,33,21,2,0,0,0
