TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20070101070044,1,36,18,1,0,0,0
20070101070044,2,57,24,1,0,0,0
20070101070044,3,16,22,1,0,0,0
20070101070048,1,58,19,2,0,0,0
20070101070051,1,22,19,2,0,0,0
20070101070051,2,22,28,2,0,0,0
20070101070052,1,24,18,2,0,0,0
20070101070052,2,5,22,1,0,0,0
20070101070052,3,1,22,2,0,0,0
20070101070067,1,18,18,2,0,0,0
20070101070067,2,60,24,1,0,0,0
20070101070067,3,48,24,2,0,0,0
20070101070077,1,57,19,1,0,0,0
20070101070083,1,64,19,2,0,0,0
20070101070084,1,25,18,2,0,0,0
20070101070084,2,10,22,1,0,0,0
20070101070088,1,85,19,2,60,0,0
20070101070502,1,41,18,2,0,0,0
20070101070502,2,47,20,1,0,0,0
20070101070502,3,15,22,2,0,0,0
20070101070502,4,13,22,1,0,0,0
20070101070502,5,8,22,2,0,0,0
20070101070502,6,6,22,1,0,0,0
20070101070508,1,46,18,1,0,0,0
20070101070508,2,45,20,2,0,0,0
20070101070508,3,21,22,1,0,0,0
20070101070509,1,52,19,1,0,0,0
20070101070512,1,37,18,2,0,0,0
20070101070512,2,18,22,2,0,0,0
20070101070513,1,33,18,1,0,0,0
20070101070513,2,34,20,2,0,0,0
20070101070513,3,3,22,1,0,0,0
20070101070513,4,1,22,2,0,0,0
20070101070515,1,29,18,1,0,0,0
20070101070515,2,28,20,2,0,0,0
20070101070515,5,8,22,2,0,0,0
20070101070515,6,1,22,1,0,0,0
20070101070534,1,53,18,2,0,0,0
20070101070534,2,55,20,1,0,0,0
20070101070557,1,29,18,2,0,0,0
20070101070557,2,61,24,2,0,0,0
20070101070584,1,59,19,2,0,0,0
20070101070587,1,37,18,2,0,0,0
20070101070587,2,4,22,2,0,0,0
20070101070594,1,60,19,2,0,0,0
20070101070597,1,36,19,1,0,0,0
20070101070599,1,45,18,2,0,0,0
20070101070599,2,46,20,1,0,0,0
20070101070599,3,8,22,1,0,0,0
20070101070599,4,5,22,2,0,0,0
20070101070600,1,44,18,2,0,0,0
20070101070600,2,41,20,1,0,0,0
20070101070600,3,4,22,2,0,0,0
20070101070600,4,0,22,2,0,0,0
20070101070602,1,28,19,2,0,0,0
20070101070602,2,35,29,1,0,0,0
20070101070610,1,67,18,2,0,0,0
20070101070610,2,73,20,1,0,0,0
20070101070614,1,57,18,1,0,0,0
20070101070614,2,52,20,2,0,0,0
20070101070630,1,39,19,2,0,0,0
20070101070673,1,26,19,1,0,0,0
20070101070683,1,44,19,2,0,0,0
20070101070684,1,16,18,1,0,0,0
20070101070684,2,44,24,2,0,0,0
20070101070684,3,40,24,1,0,0,0
20070101070684,4,8,25,2,0,0,0
20070101070684,5,12,25,2,0,0,0
20070101070700,1,49,18,2,0,0,0
20070101070700,2,49,20,1,0,0,0
20070101070700,3,15,22,2,0,0,0
20070101070703,1,44,18,2,0,0,0
20070101070703,2,52,20,1,0,0,0
20070101070703,3,16,22,1,0,0,0
20070101070703,4,11,22,1,0,0,0
20070101070703,5,11,22,1,0,0,0
20070101070704,1,22,18,2,0,0,0
20070101070704,2,26,20,1,0,0,0
20070101070704,3,1,22,1,0,0,0
20070101070704,4,28,26,2,0,0,0
20070101070716,1,35,18,1,0,0,0
20070101070716,2,28,20,2,0,0,0
20070101070719,1,51,18,1,0,0,0
20070101070719,2,42,20,2,0,0,0
20070101070719,3,7,22,1,0,0,0
20070101070727,1,68,18,1,0,0,0
20070101070727,2,62,20,2,0,0,0
20070101070727,3,38,22,1,0,0,0
20070101070727,4,1,23,1,0,0,0
20070101070727,5,26,30,2,0,0,0
20070101070731,1,43,18,1,0,0,0
20070101070731,2,75,24,2,0,0,0
20070101070731,3,77,24,1,0,0,0
20070101070731,4,16,26,2,0,0,0
20070101070756,1,24,18,1,0,0,0
