TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20150101150018,1,55,18,2,0,0,0
20150101150018,2,34,26,1,0,0,0
20150101150018,3,32,22,2,0,0,0
20150101150053,1,65,19,1,0,0,0
20150101150071,1,77,19,2,0,0,0
20150101150146,1,72,18,2,0,0,0
20150101150146,2,74,20,1,0,0,0
20150101150147,1,51,18,2,0,0,0
20150101150147,2,52,20,1,0,0,0
20150101150147,3,11,22,2,0,0,0
20150101150184,1,34,18,1,0,0,0
20150101150184,2,33,20,2,0,0,0
20150101150184,3,0,22,2,0,0,0
20150101150500,1,67,18,1,0,0,0
20150101150500,2,67,20,2,0,0,0
20150101150523,1,38,18,1,0,0,0
20150101150523,2,38,20,2,0,0,0
20150101150523,3,10,22,1,0,0,0
20150101150523,4,8,22,2,0,0,0
20150101150523,5,5,22,1,0,0,0
20150101150523,6,3,22,1,0,0,0
20150101150535,1,36,18,1,0,0,0
20150101150535,2,35,20,2,0,0,0
20150101150535,3,10,22,1,0,0,0
20150101150535,4,6,22,1,0,0,0
20150101150535,5,4,22,1,0,0,0
20150101150539,1,27,19,1,0,0,0
20150101150539,2,28,20,2,0,0,0
20150101150572,1,62,19,1,0,0,0
20150101150578,1,33,18,2,0,0,0
20150101150578,2,32,20,1,0,0,0
20150101150578,3,10,22,2,0,0,0
20150101150578,4,9,22,1,0,0,0
20150101150578,5,6,22,2,0,0,0
20150101150601,1,45,18,2,0,0,0
20150101150601,2,16,22,1,0,0,0
20150101150607,1,47,19,2,0,0,0
20150101150615,1,18,18,1,0,0,0
20150101150615,2,33,24,2,0,0,0
20150101150615,3,12,25,1,0,0,0
20150101150615,4,7,25,2,0,0,0
20150101150615,5,35,24,1,0,0,0
20150101150628,1,85,19,2,60,0,0
20150101150641,1,36,18,2,0,0,0
20150101150641,2,43,20,1,0,0,0
20150101150641,3,17,22,1,0,0,0
20150101150641,4,12,22,1,0,0,0
20150101150641,5,2,26,2,0,0,0
20150101150677,1,56,19,1,0,0,0
20150101150678,1,60,18,2,0,0,0
20150101150678,2,52,20,1,0,0,0
20150101150697,1,46,18,1,0,0,0
20150101150697,2,52,20,2,0,0,0
20150101150697,3,15,22,1,0,0,0
20150101150699,1,75,18,2,0,0,0
20150101150699,2,79,20,1,0,0,0
20150101150701,1,67,19,1,0,0,0
20150101150702,1,32,18,1,0,0,0
20150101150702,2,34,20,2,0,0,0
20150101150702,3,2,22,2,0,0,0
20150101150735,1,39,18,2,0,0,0
20150101150735,2,39,20,1,0,0,0
20150101150735,3,20,22,1,0,0,0
20150101150748,1,32,18,2,0,0,0
20150101150748,2,33,20,1,0,0,0
20150101150748,3,6,22,1,0,0,0
20150101150748,4,4,22,1,0,0,0
20150101150748,5,2,22,2,0,0,0
20150101150748,6,0,22,2,0,0,0
20150101150756,1,69,18,1,0,0,0
20150101150756,2,69,20,2,0,0,0
20150101150787,1,85,18,1,60,0,0
20150101150794,1,19,18,2,0,0,0
20150101150794,2,53,24,1,0,0,0
20150101150794,3,51,24,2,0,0,0
20150101150798,1,54,18,1,0,0,0
20150101150798,2,55,25,2,0,0,0
20150101150798,3,12,26,1,0,0,0
20150101150812,1,69,18,2,0,0,0
20150101150812,2,75,20,1,0,0,0
20150101150818,1,66,19,2,0,0,0
20150101150850,1,80,19,1,0,0,0
20150101150852,1,64,18,1,0,0,0
20150101150852,2,63,20,2,0,0,0
20150101150854,1,71,18,2,0,0,0
20150101150854,2,71,20,1,0,0,0
20150101150870,1,68,18,2,0,0,0
20150101150870,2,66,20,1,0,0,0
20150101150879,1,85,19,2,60,0,0
20150101150888,1,36,18,2,0,0,0
20150101150888,2,46,20,1,0,0,0
20150101150902,1,37,18,2,0,0,0
20150101150902,2,36,20,1,0,0,0
20150101150902,3,15,22,2,0,0,0
20150101150902,4,11,22,2,0,0,0
20150101150902,5,10,22,1,0,0,0
20150101150902,6,8,22,2,0,0,0
20150101150902,7,6,22,2,0,0,0
20150101150902,8,2,22,1,0,0,0
20150101150908,1,80,19,2,0,0,0
20150101150913,1,60,18,2,0,0,0
20150101150913,2,11,22,1,0,0,0
20150101150934,1,67,18,1,0,0,0
20150101150934,2,62,20,2,0,0,0
20150101150949,1,43,18,2,0,0,0
20150101150949,2,51,20,1,0,0,0
20150101150949,3,17,22,2,0,0,0
20150101150949,4,16,22,1,0,0,0
20150101150949,5,16,40,1,0,0,0
20150101150958,1,85,19,1,60,0,0
20150101150963,1,62,19,2,0,0,0
20150101150965,1,52,18,1,0,0,0
20150101150965,2,49,20,2,0,0,0
20150101150965,3,20,22,1,0,0,0
20150101150989,1,23,18,1,0,0,0
20150101150989,2,27,21,1,0,0,0
20150101151002,1,48,18,2,0,0,0
20150101151002,2,48,20,1,0,0,0
20150101151002,3,20,22,2,0,0,0
20150101151002,4,17,22,1,0,0,0
20150101151002,5,14,22,1,0,0,0
20150101151007,1,42,18,1,0,0,0
20150101151007,2,43,20,2,0,0,0
20150101151010,1,28,18,1,0,0,0
20150101151010,2,66,24,2,0,0,0
20150101151018,1,61,19,2,0,0,0
20150101151026,1,55,19,1,0,0,0
20150101151051,1,43,19,1,0,0,0
20150101151071,1,31,18,2,0,0,0
20150101151071,2,12,22,2,0,0,0
20150101151079,1,31,18,2,0,0,0
20150101151079,2,34,20,1,0,0,0
20150101151079,3,5,22,1,0,0,0
20150101151079,4,2,22,2,0,0,0
20150101151093,1,46,18,1,0,0,0
20150101151093,2,45,20,2,0,0,0
20150101151093,3,8,22,2,0,0,0
20150101151115,1,30,18,2,0,0,0
20150101151115,2,26,20,1,0,0,0
20150101151115,3,4,22,2,0,0,0
20150101151115,4,1,22,2,0,0,0
20150101151115,5,0,22,2,0,0,0
20150101151125,1,64,18,2,0,0,0
20150101151125,2,72,20,1,0,0,0
20150101151129,1,58,18,2,0,0,0
20150101151129,2,63,20,1,0,0,0
20150101151131,1,55,18,2,0,0,0
20150101151131,2,54,20,1,0,0,0
20150101151131,3,19,22,1,0,0,0
20150101151142,1,37,19,2,0,0,0
20150101151145,1,45,18,1,0,0,0
20150101151145,2,45,20,2,0,0,0
20150101151145,3,13,22,2,0,0,0
20150101151145,4,9,22,1,0,0,0
20150101151145,5,70,24,2,0,0,0
20150101151159,1,72,19,2,0,0,0
20150101151170,1,85,18,2,60,0,0
20150101151170,2,61,22,2,0,0,0
20150101151170,3,32,23,2,0,0,0
20150101151170,5,14,23,2,0,0,0
20150101151170,6,9,23,1,0,0,0
20150101151178,1,63,18,2,0,0,0
20150101151178,2,63,20,1,0,0,0
20150101151181,1,23,18,1,0,0,0
20150101151181,2,23,20,2,0,0,0
20150101151181,3,1,22,1,0,0,0
20150101151189,1,68,19,2,0,0,0
20150101151195,1,51,18,1,0,0,0
20150101151195,2,74,24,2,0,0,0
20150101151195,3,50,30,2,0,0,0
20150101151201,1,85,19,2,60,0,0
20150101151213,1,28,18,1,0,0,0
20150101151213,2,33,20,2,0,0,0
20150101151228,1,54,19,2,0,0,0
20150101151244,1,48,18,1,0,0,0
20150101151244,2,54,20,2,0,0,0
20150101151244,3,16,22,1,0,0,0
20150101151291,1,75,18,1,0,0,0
20150101151291,2,73,20,2,0,0,0
20150101151311,1,61,18,2,0,0,0
20150101151311,2,57,20,1,0,0,0
20150101151321,1,60,19,2,0,0,0
20150101151355,1,65,18,2,0,0,0
20150101151355,2,85,24,2,60,0,0
20150101151362,1,77,19,2,0,0,0
20150101151385,1,41,18,2,0,0,0
20150101151385,2,6,22,2,0,0,0
20150101151446,1,73,19,2,0,0,0
20150101151470,1,39,18,1,0,0,0
20150101151470,2,36,21,2,0,0,0
20150101151470,3,9,22,1,0,0,0
20150101151480,1,59,19,2,0,0,0
20150101151498,1,51,19,2,0,0,0
20150101151504,1,35,19,2,0,0,0
20150101151504,2,36,21,1,0,0,0
20150101151505,1,19,18,1,0,0,0
20150101151505,2,41,24,1,0,0,0
20150101151505,3,42,24,2,0,0,0
20150101151505,4,14,25,1,0,0,0
20150101151505,5,12,25,1,0,0,0
20150101151510,1,80,18,2,0,0,0
20150101151510,2,54,22,1,0,0,0
20150101151523,1,56,18,2,0,0,0
20150101151523,2,58,20,1,0,0,0
20150101151539,1,25,18,2,0,0,0
20150101151539,2,24,21,2,0,0,0
20150101151568,1,36,18,2,0,0,0
20150101151568,2,37,20,1,0,0,0
20150101151568,3,12,22,1,0,0,0
20150101151568,4,10,22,2,0,0,0
20150101151568,5,4,22,2,0,0,0
20150101151580,1,37,18,2,0,0,0
20150101151580,2,41,20,1,0,0,0
20150101151580,3,12,22,2,0,0,0
20150101151585,1,67,18,1,0,0,0
20150101151585,2,71,20,2,0,0,0
20150101151626,1,51,18,2,0,0,0
20150101151626,2,26,22,2,0,0,0
20150101151656,1,17,18,2,0,0,0
20150101151656,2,43,24,2,0,0,0
20150101151656,3,43,24,1,0,0,0
20150101151656,5,14,25,1,0,0,0
20150101151656,6,10,25,2,0,0,0
20150101151659,1,48,19,1,0,0,0
20150101151666,1,54,18,2,0,0,0
20150101151666,2,58,20,1,0,0,0
20150101151722,1,29,18,2,0,0,0
20150101151722,2,29,20,1,0,0,0
20150101151722,3,3,22,2,0,0,0
20150101151722,4,0,22,1,0,0,0
20150101151736,1,64,18,2,0,0,0
20150101151736,2,39,22,1,0,0,0
20150101151736,3,38,26,2,0,0,0
20150101151736,4,68,20,1,0,0,0
20150101151736,5,17,22,2,0,0,0
20150101151736,6,10,22,2,0,0,0
20150101151765,1,69,19,2,0,0,0
20150101151772,1,65,18,2,0,0,0
20150101151772,2,55,20,1,0,0,0
20150101151775,1,65,19,2,0,0,0
20150101151775,2,70,21,1,0,0,0
20150101151776,1,72,18,2,0,0,0
20150101151776,2,73,20,1,0,0,0
20150101151786,1,75,18,1,0,0,0
20150101151786,2,60,20,2,0,0,0
20150101151789,1,25,18,2,0,0,0
20150101151789,2,28,20,1,0,0,0
20150101151789,3,4,22,1,0,0,0
20150101151789,4,1,22,1,0,0,0
20150101151809,1,54,18,2,0,0,0
20150101151809,2,59,20,1,0,0,0
20150101151827,1,59,18,2,0,0,0
20150101151827,2,60,20,1,0,0,0
20150101151827,3,78,24,2,0,0,0
20150101151832,1,76,19,2,0,0,0
20150101151833,1,58,18,2,0,0,0
20150101151833,2,70,20,1,0,0,0
20150101151833,3,19,22,1,0,0,0
20150101151833,4,20,22,2,0,0,0
20150101151849,1,60,19,2,0,0,0
20150101151849,2,24,22,1,0,0,0
20150101151854,1,49,18,1,0,0,0
20150101151854,2,43,20,2,0,0,0
20150101151854,3,17,22,1,0,0,0
20150101151854,4,13,22,2,0,0,0
20150101151861,1,42,19,1,0,0,0
20150101151861,2,14,40,2,0,0,0
20150101151861,3,12,40,1,0,0,0
20150101151873,1,30,18,2,0,0,0
20150101151873,2,39,20,1,0,0,0
20150101151873,3,11,22,1,0,0,0
20150101151873,4,5,22,1,0,0,0
20150101151873,5,2,22,1,0,0,0
20150101151874,1,35,18,2,0,0,0
20150101151874,2,35,20,1,0,0,0
20150101151874,3,4,22,1,0,0,0
20150101151878,1,57,19,1,0,0,0
20150101151885,1,18,18,1,0,0,0
20150101151885,2,57,24,2,0,0,0
20150101151885,3,56,24,1,0,0,0
20150101151885,4,20,25,1,0,0,0
20150101151885,5,14,25,2,0,0,0
20150101151940,1,76,18,1,0,0,0
20150101151940,2,43,22,2,0,0,0
20150101151940,3,11,23,2,0,0,0
20150101151949,1,53,18,2,0,0,0
20150101151949,2,56,20,1,0,0,0
20150101151949,3,15,22,2,0,0,0
20150101151980,1,60,19,2,0,0,0
20150101151986,1,61,18,2,0,0,0
20150101151986,2,57,20,1,0,0,0
20150101152004,1,33,18,2,0,0,0
20150101152004,2,31,20,1,0,0,0
20150101152004,3,4,22,2,0,0,0
20150101152004,4,3,22,1,0,0,0
20150101152012,1,58,19,1,0,0,0
20150101152034,1,24,18,1,0,0,0
20150101152034,2,31,21,2,0,0,0
20150101152034,3,4,22,1,0,0,0
20150101152039,1,35,18,2,0,0,0
20150101152039,2,38,20,1,0,0,0
20150101152039,3,5,22,2,0,0,0
20150101152039,4,4,22,2,0,0,0
20150101152052,1,52,18,2,0,0,0
20150101152052,2,49,20,1,0,0,0
20150101152063,1,44,18,1,0,0,0
20150101152063,2,43,20,2,0,0,0
20150101152068,1,45,18,1,0,0,0
20150101152068,2,45,20,2,0,0,0
20150101152068,3,14,22,2,0,0,0
20150101152098,1,70,19,2,0,0,0
20150101152127,1,69,19,1,0,0,0
20150101152132,1,67,19,2,0,0,0
20150101152135,1,48,18,2,0,0,0
20150101152135,2,78,24,2,0,0,0
20150101152135,3,56,25,1,0,0,0
20150101152146,1,19,18,2,0,0,0
20150101152146,2,46,24,2,0,0,0
20150101152146,3,44,24,1,0,0,0
20150101152146,4,14,25,1,0,0,0
20150101152178,1,47,19,2,0,0,0
20150101152178,2,70,28,1,0,0,0
20150101152213,1,77,19,2,0,0,0
20150101152246,1,19,18,2,0,0,0
20150101152246,2,45,24,2,0,0,0
20150101152249,1,34,19,2,0,0,0
20150101152306,1,23,19,2,0,0,0
20150101152321,1,40,18,2,0,0,0
20150101152321,2,12,22,1,0,0,0
20150101152321,3,15,22,2,0,0,0
20150101152322,1,51,19,1,0,0,0
20150101152354,1,36,18,2,0,0,0
20150101152354,2,9,22,1,0,0,0
20150101152354,3,8,22,1,0,0,0
20150101152354,4,3,22,1,0,0,0
20150101152392,1,62,18,2,0,0,0
20150101152392,2,63,20,1,0,0,0
20150101152398,1,15,18,2,0,0,0
20150101152398,2,50,24,2,0,0,0
20150101152398,3,49,24,1,0,0,0
20150101152398,4,18,25,1,0,0,0
20150101152412,1,36,18,2,0,0,0
20150101152412,2,40,20,1,0,0,0
20150101152412,3,8,22,2,0,0,0
20150101152412,4,6,22,1,0,0,0
20150101152412,5,5,22,2,0,0,0
20150101152412,6,1,22,2,0,0,0
20150101152479,1,30,18,2,0,0,0
20150101152479,2,31,20,1,0,0,0
20150101152479,3,1,22,2,0,0,0
20150110140726,1,50,19,2,0,0,0
20150110140891,1,59,18,1,0,0,0
20150110140891,2,56,20,2,0,0,0
20150110140954,1,31,19,1,0,0,0
20150110140954,2,26,30,2,0,0,0
20150110141050,1,30,18,2,0,0,0
20150110141050,2,54,24,1,0,0,0
20150110141050,3,47,24,2,0,0,0
20150110141050,4,6,22,2,0,0,0
20150110141210,1,31,19,1,0,0,0
20150110141308,1,72,19,2,0,0,0
20150110141403,1,48,18,1,0,0,0
20150110141403,2,43,20,2,0,0,0
20150110141403,4,17,22,2,0,0,0
20150110141470,1,49,18,2,0,0,0
20150110141470,2,54,20,1,0,0,0
20150110141470,3,16,22,1,0,0,0
20150110141496,1,40,18,1,0,0,0
20150110141496,2,67,24,2,0,0,0
20150110141496,3,85,26,2,60,0,0
20150110141751,1,18,18,2,0,0,0
20150110141751,2,50,24,1,0,0,0
20150110141751,3,48,24,2,0,0,0
20150110141751,4,25,25,1,0,0,0
20150110141751,5,12,25,2,0,0,0
20150110142277,1,24,19,2,0,0,0
20150110142277,3,24,28,2,43,0,0
20150110142479,1,22,18,2,0,0,0
20150110142479,2,70,24,1,0,0,0
20150110142479,3,56,24,2,0,0,0
20150110142506,1,49,18,1,0,0,0
20150110142506,2,49,20,2,0,0,0
20150110142506,3,10,22,1,0,0,0
20150111140017,1,63,18,1,0,0,0
20150111140017,2,44,20,2,0,0,0
20150111140019,1,46,18,1,0,0,0
20150111140019,2,44,20,2,0,0,0
20150111140019,3,10,22,1,0,0,0
20150111140019,4,3,22,2,0,0,0
20150111140019,5,69,26,2,0,0,0
20150111140030,1,35,18,2,0,0,0
20150111140030,2,1,22,1,0,0,0
20150111140030,3,65,24,2,0,0,0
20150111140057,1,50,19,2,0,0,0
20150111140078,1,25,18,1,0,0,0
20150111140078,2,21,28,1,0,0,0
20150111140078,3,21,28,1,0,0,0
20150111140111,1,57,18,2,0,0,0
20150111140111,2,59,20,1,0,0,0
20150111140111,3,17,22,1,0,0,0
20150111140124,1,47,18,1,0,0,0
20150111140124,2,47,26,2,0,0,0
20150111140124,3,44,25,1,0,0,0
20150111140146,1,28,19,1,0,0,0
20150111140146,2,27,28,2,0,0,0
20150111140509,1,30,18,1,0,0,0
20150111140509,2,64,24,2,0,0,0
20150111140509,3,65,24,1,0,0,0
20150111140509,4,34,25,1,0,0,0
20150111140516,1,20,18,1,0,0,0
20150111140516,2,56,24,2,0,0,0
20150111140526,1,44,18,2,0,0,0
20150111140526,2,46,21,1,0,0,0
20150111140526,3,7,22,2,0,0,0
20150111140526,4,5,22,1,0,0,0
20150111140526,5,0,22,2,0,0,0
20150111140533,1,73,19,2,0,0,0
20150111140561,1,54,19,1,0,0,0
20150111140566,1,45,19,1,0,0,0
20150111140577,1,45,18,2,0,0,0
20150111140577,2,42,20,1,0,0,0
20150111140577,3,16,22,2,0,0,0
20150111140577,4,13,22,1,0,0,0
20150111140577,6,64,24,2,0,0,0
20150111140584,1,80,19,2,0,0,0
20150111140585,1,38,18,2,0,0,0
20150111140585,2,15,22,2,0,0,0
20150111140585,3,14,22,2,0,0,0
20150111140585,4,12,22,2,0,0,0
20150111140617,1,49,19,2,0,0,0
20150111140626,1,59,19,1,0,0,0
20150111140645,1,53,18,2,0,0,0
20150111140645,2,50,20,1,0,0,0
20150111140650,1,61,18,2,0,0,0
20150111140650,2,61,20,1,0,0,0
20150111140658,1,50,18,2,0,0,0
20150111140658,2,50,20,1,0,0,0
20150111140658,3,22,22,1,0,0,0
20150111140663,1,40,18,1,0,0,0
20150111140663,2,39,20,2,0,0,0
20150111140663,3,10,22,1,0,0,0
20150111140678,1,41,18,2,0,0,0
20150111140678,2,36,20,1,0,0,0
20150111140678,3,13,22,2,0,0,0
20150111140678,4,8,22,2,0,0,0
20150111140678,5,9,22,1,0,0,0
20150111140678,6,5,22,1,0,0,0
20150111140678,7,4,22,1,0,0,0
20150111140681,1,47,18,2,0,0,0
20150111140681,2,42,20,1,0,0,0
20150111140681,3,12,22,2,0,0,0
20150111140689,1,41,18,1,0,0,0
20150111140689,2,39,20,2,0,0,0
20150111140689,3,5,22,1,0,0,0
20150111140689,4,4,22,1,0,0,0
20150111140704,1,51,18,2,0,0,0
20150111140704,2,51,20,1,0,0,0
20150111140704,3,13,22,1,0,0,0
20150111140707,1,41,18,1,0,0,0
20150111140707,2,38,20,2,0,0,0
20150111140707,3,14,22,2,0,0,0
20150111140717,1,22,18,1,0,0,0
20150111140717,2,22,20,2,0,0,0
20150111140757,1,66,18,2,0,0,0
20150111140757,2,68,20,1,0,0,0
20150111140772,1,40,18,2,0,0,0
20150111140772,2,38,20,1,0,0,0
20150111140772,3,4,22,1,0,0,0
20150111140772,4,0,22,1,0,0,0
20150111140778,1,45,18,1,0,0,0
20150111140778,2,47,20,2,0,0,0
20150111140778,3,17,22,2,0,0,0
20150111140778,4,13,22,1,0,0,0
20150111140780,1,58,18,2,0,0,0
20150111140780,2,24,22,1,0,0,0
20150111140780,3,53,20,1,0,0,0
20150111140782,1,32,18,2,0,0,0
20150111140782,2,31,20,1,0,0,0
20150111140782,3,3,22,2,0,0,0
20150111140794,1,51,18,1,0,0,0
20150111140808,1,45,18,2,0,0,0
20150111140808,2,48,20,1,0,0,0
20150111140811,1,47,18,2,0,0,0
20150111140811,2,23,22,2,0,0,0
20150111140819,1,77,19,1,0,0,0
20150111140827,1,53,18,2,0,0,0
20150111140827,2,34,22,1,0,0,0
20150111140858,1,40,18,1,0,0,0
20150111140858,2,30,21,2,0,0,0
20150111140858,3,7,22,1,0,0,0
20150111140858,4,11,22,2,0,0,0
20150111140861,1,39,18,2,0,0,0
20150111140861,2,12,22,1,0,0,0
20150111140861,3,10,22,2,0,0,0
20150111140861,4,8,22,1,0,0,0
20150111140868,1,49,19,1,0,0,0
20150111140878,1,21,18,2,0,0,0
20150111140878,2,22,20,1,0,0,0
20150111140880,1,68,19,2,0,0,0
20150111140881,1,65,19,2,0,0,0
20150111140887,1,58,19,2,0,0,0
20150111140945,1,41,19,1,0,0,0
20150111140945,2,14,22,1,0,0,0
20150111140945,3,9,40,1,0,0,0
20150111140950,1,76,18,2,0,0,0
20150111140950,2,85,20,1,60,0,0
20150111140950,3,23,23,1,0,0,0
20150111140953,1,28,18,2,0,0,0
20150111140953,2,52,24,2,0,0,0
20150111140953,3,50,24,1,0,0,0
20150111140953,5,19,25,2,0,0,0
20150111140953,6,14,25,1,0,0,0
20150111140953,7,11,25,1,0,0,0
20150111140953,8,1,22,1,0,0,0
20150111140953,9,4,22,1,0,0,0
20150111140962,1,56,18,1,0,0,0
20150111140962,2,53,20,2,0,0,0
20150111140985,1,44,18,2,0,0,0
20150111140985,2,17,22,2,0,0,0
20150111140988,1,25,18,2,0,0,0
20150111140988,2,4,22,1,0,0,0
20150111140988,5,30,25,1,0,0,0
20150111140988,6,29,26,2,0,0,0
20150111140988,7,4,26,1,0,0,0
20150111140989,1,48,18,1,0,0,0
20150111140989,2,41,21,2,0,0,0
20150111140989,3,18,22,2,0,0,0
20150111140989,4,11,22,1,0,0,0
20150111140989,5,9,22,1,0,0,0
20150111141009,1,50,19,2,0,0,0
20150111141011,1,50,18,2,0,0,0
20150111141011,2,54,20,1,0,0,0
20150111141011,3,21,22,2,0,0,0
20150111141011,4,17,22,1,0,0,0
20150111141031,1,16,18,2,0,0,0
20150111141031,2,45,24,2,0,0,0
20150111141031,3,12,25,2,0,0,0
20150111141042,1,41,18,1,0,0,0
20150111141042,2,69,26,2,0,0,0
20150111141042,3,63,26,2,0,0,0
20150111141042,4,61,24,2,0,0,0
20150111141054,1,24,18,2,0,0,0
20150111141054,2,51,24,2,0,0,0
20150111141054,3,51,24,1,0,0,0
20150111141054,4,22,25,1,0,0,0
20150111141062,1,60,18,1,0,0,0
20150111141062,2,73,25,2,0,0,0
20150111141062,3,72,25,2,0,0,0
20150111141062,4,51,26,1,22,0,0
20150111141087,1,66,18,1,0,0,0
20150111141087,2,80,24,2,0,0,0
20150111141111,1,26,18,2,0,0,0
20150111141111,2,6,22,1,0,0,0
20150111141114,1,71,18,1,0,0,0
20150111141114,2,73,20,2,0,0,0
20150111141123,1,71,18,1,0,0,0
20150111141123,2,68,20,2,0,0,0
20150111141138,1,56,18,2,0,0,0
20150111141138,2,54,20,1,0,0,0
20150111141138,4,19,22,2,0,0,0
20150111141170,1,45,18,1,0,0,0
20150111141170,2,22,22,2,0,0,0
20150111141170,3,41,20,2,0,0,0
20150111141170,4,16,22,2,0,0,0
20150111141173,1,35,18,2,0,0,0
20150111141173,2,33,20,1,0,0,0
20150111141173,3,16,22,1,0,0,0
20150111141173,4,11,22,2,0,0,0
20150111141173,5,4,22,1,0,0,0
20150111141175,1,20,18,2,0,0,0
20150111141175,2,39,24,2,0,0,0
20150111141175,3,43,24,1,0,0,0
20150111141175,4,14,25,2,0,0,0
20150111141200,1,24,19,1,0,0,0
20150111141203,1,37,18,1,0,0,0
20150111141203,2,35,20,2,0,0,0
20150111141203,3,13,22,2,0,0,0
20150111141205,1,49,18,1,0,0,0
20150111141205,2,51,20,2,0,0,0
20150111141205,3,19,22,2,0,0,0
20150111141205,4,14,22,2,0,0,0
20150111141205,5,43,25,1,0,0,0
20150111141205,6,78,26,2,0,0,0
20150111141221,1,33,18,1,0,0,0
20150111141221,2,56,30,1,0,0,0
20150111141242,1,22,18,2,0,0,0
20150111141242,2,42,24,2,0,0,0
20150111141242,3,47,26,1,0,0,0
20150111141242,4,6,22,1,0,0,0
20150111141250,1,34,18,2,0,0,0
20150111141250,2,58,24,1,0,0,0
20150111141250,3,61,24,2,0,0,0
20150111141250,4,4,22,2,0,0,0
20150111141250,5,4,22,2,0,0,0
20150111141260,1,37,18,1,0,0,0
20150111141260,2,35,20,2,0,0,0
20150111141260,3,1,22,1,0,0,0
20150111141267,1,44,18,2,0,0,0
20150111141267,2,48,20,1,0,0,0
20150111141267,3,16,22,2,0,0,0
20150111141280,1,20,18,1,0,0,0
20150111141280,2,53,24,2,0,0,0
20150111141280,3,11,25,2,0,0,0
20150111141283,1,18,18,1,0,0,0
20150111141283,2,34,24,2,0,0,0
20150111141283,3,13,25,1,0,0,0
20150111141283,4,8,25,1,0,0,0
20150111141283,5,0,25,1,0,0,0
20150111141291,1,21,18,2,0,0,0
20150111141291,2,52,24,1,0,0,0
20150111141291,3,50,24,2,0,0,0
20150111141293,1,71,18,2,0,0,0
20150111141293,2,68,21,1,0,0,0
20150111141306,1,16,18,1,0,0,0
20150111141306,2,50,24,1,0,0,0
20150111141306,3,47,24,2,0,0,0
20150111141306,4,14,25,1,0,0,0
20150111141306,5,12,25,1,0,0,0
20150111141306,6,9,25,2,0,0,0
20150111141311,1,61,19,2,0,0,0
20150111141311,2,39,30,1,0,0,0
20150111141315,1,43,18,2,0,0,0
20150111141315,2,80,28,1,60,0,0
20150111141315,3,46,30,1,0,0,0
20150111141315,4,4,22,2,0,0,0
20150111141318,1,65,18,2,0,0,0
20150111141318,2,75,20,1,0,0,0
20150111141318,3,46,22,2,0,0,0
20150111141318,4,12,23,2,0,0,0
20150111141318,5,12,23,2,0,0,0
20150111141318,6,12,23,2,0,0,0
20150111141318,7,15,23,1,0,0,0
20150111141319,1,59,18,1,0,0,0
20150111141319,2,24,22,1,0,0,0
20150111141330,1,72,18,1,0,0,0
20150111141330,2,71,20,2,0,0,0
20150111141348,1,58,19,1,0,0,0
20150111141348,2,52,21,2,0,0,0
20150111141365,1,42,18,2,0,0,0
20150111141365,2,6,22,2,0,0,0
20150111141365,3,4,22,2,0,0,0
20150111141365,4,43,21,1,0,0,0
20150111141395,1,49,18,2,0,0,0
20150111141395,2,62,20,1,0,0,0
20150111141399,1,63,18,2,0,0,0
20150111141399,2,19,23,2,0,0,0
20150111141399,3,14,26,2,0,0,0
